globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1175 | Revision_1217/org/xbill/DNS/SOARecord.java | 73 | 81 | 13 | 570 | rdataFromString | rdataFromString(Tokenizer st, Name origin) throws IOException | 73 | 81 | org.xbill.DNS | SOARecord
587 | Revision_1217/org/xbill/DNS/CERTRecord.java | 198 | 203 | 14 | 152 | rrToWire | rrToWire(DNSOutput out, Compression c, boolean canonical) | 198 | 203 | org.xbill.DNS | CERTRecord
1066 | Revision_1217/org/xbill/DNS/NAPTRRecord.java | 143 | 150 | 14 | 152 | rrToWire | rrToWire(DNSOutput out, Compression c, boolean canonical) | 143 | 150 | org.xbill.DNS | NAPTRRecord
1193 | Revision_1217/org/xbill/DNS/KEYBase.java | 157 | 163 | 14 | 152 | rrToWire | rrToWire(DNSOutput out, Compression c, boolean canonical) | 157 | 163 | org.xbill.DNS | KEYBase
509 | Revision_1217/org/xbill/DNS/SRVRecord.java | 105 | 110 | 14 | 152 | rrToWire | rrToWire(DNSOutput out, Compression c, boolean canonical) | 105 | 110 | org.xbill.DNS | SRVRecord
1083 | Revision_1217/org/xbill/DNS/DSRecord.java | 123 | 129 | 14 | 152 | rrToWire | rrToWire(DNSOutput out, Compression c, boolean canonical) | 123 | 129 | org.xbill.DNS | DSRecord
1207 | Revision_1217/org/xbill/DNS/SIGBase.java | 177 | 187 | 14 | 152 | rrToWire | rrToWire(DNSOutput out, Compression c, boolean canonical) | 177 | 187 | org.xbill.DNS | SIGBase
997 | Revision_1217/org/xbill/DNS/SOARecord.java | 160 | 168 | 14 | 152 | rrToWire | rrToWire(DNSOutput out, Compression c, boolean canonical) | 160 | 168 | org.xbill.DNS | SOARecord
866 | Revision_1217/org/xbill/DNS/dns.java | 44 | 51 | 15 | 310 | inaddrString | inaddrString(String s) | 44 | 51 | org.xbill.DNS | dns
776 | Revision_1217/org/xbill/DNS/RRset.java | 162 | 169 | 15 | 224 | first | first() | 162 | 169 | org.xbill.DNS | RRset
1200 | Revision_1217/org/xbill/DNS/DNSInput.java | 113 | 121 | 16 | 775 | restore | restore() | 113 | 121 | org.xbill.DNS | DNSInput
1201 | Revision_1217/org/xbill/DNS/DNSOutput.java | 97 | 103 | 16 | 775 | restore | restore() | 97 | 103 | org.xbill.DNS | DNSOutput
1202 | Revision_1217/org/xbill/DNS/DNSInput.java | 171 | 175 | 17 | NULL | NULL | NULL | NULL | NULL |  | 
1203 | Revision_1217/org/xbill/DNS/DNSOutput.java | 149 | 153 | 17 | NULL | NULL | NULL | NULL | NULL |  | 
1197 | Revision_1217/org/xbill/DNS/DNSInput.java | 183 | 189 | 18 | 768 | readByteArray | readByteArray(int len) throws WireParseException | 183 | 189 | org.xbill.DNS | DNSInput
1198 | Revision_1217/org/xbill/DNS/DNSInput.java | 197 | 203 | 18 | 767 | readByteArray | readByteArray() | 197 | 203 | org.xbill.DNS | DNSInput
1204 | Revision_1217/org/xbill/DNS/DNSOutput.java | 110 | 114 | 19 | 788 | writeU8 | writeU8(int val) | 110 | 114 | org.xbill.DNS | DNSOutput
