gcid,filePath,folder,all_files,num_files,total_changes,first_revision,last_revision
130,dnsNXTRecord.java,,dnsNXTRecord.java,1,2,8,41
132,dnsNXTRecord.java,,dnsNXTRecord.java,1,2,41,44
134,NXTRecord.java,,NXTRecord.java,1,5,41,248
139,dnsRecord.java,,dnsRecord.java,1,1,41,41
141,Record.java,,Record.java,1,5,41,996
142,dnsRecord.java,,dnsRecord.java,1,1,41,41
145,dnsRecord.java,,dnsRecord.java,1,1,6,6
146,dnsRecord.java,,dnsRecord.java,1,1,6,6
147,Record.java,,Record.java,1,1,6,6
148,Record.java,,Record.java,1,1,6,6
154,Record.java,,Record.java,1,19,41,1458
156,dnsRecord.java,,dnsRecord.java,1,1,41,41
157,SOARecord.java,,SOARecord.java,1,6,41,248
160,Record.java,,Record.java,1,2,41,135
161,SIGRecord.java,,SIGRecord.java,1,1,4,4
163,dnsSIGRecord.java,,dnsSIGRecord.java,1,3,4,44
164,SIGRecord.java,,SIGRecord.java,1,6,41,248
165,dnsRecord.java,,dnsRecord.java,1,1,41,41
166,Record.java,,Record.java,1,5,41,205
167,dnsRecord.java,,dnsRecord.java,1,1,41,41
168,Record.java,,Record.java,1,5,41,205
170,Resolver.java,,Resolver.java,1,1,210,210
171,SimpleResolver.java,,SimpleResolver.java,1,1,210,210
173,Resolver.java,,Resolver.java,1,1,210,210
175,dnsResolver.java,,dnsResolver.java,1,1,30,30
176,SimpleResolver.java,,SimpleResolver.java,1,4,30,284
177,SimpleResolver.java,,SimpleResolver.java,1,9,201,284
178,Resolver.java,,Resolver.java,1,2,30,208
179,dnsResolver.java,,dnsResolver.java,1,1,30,30
180,Resolver.java,,Resolver.java,1,4,30,210
181,dnsResolver.java,,dnsResolver.java,1,3,4,16
182,SimpleResolver.java,,SimpleResolver.java,1,7,4,284
183,Resolver.java,,Resolver.java,1,7,4,210
184,SimpleResolver.java,,SimpleResolver.java,1,9,4,284
185,dnsResolver.java,,dnsResolver.java,1,4,4,30
186,Resolver.java,,Resolver.java,1,5,4,208
187,dnsResolver.java,,dnsResolver.java,1,5,14,33
188,SimpleResolver.java,,SimpleResolver.java,1,10,14,223
189,Resolver.java,,Resolver.java,1,8,14,208
190,SimpleResolver.java,,SimpleResolver.java,1,10,14,223
191,dnsResolver.java,,dnsResolver.java,1,5,14,33
192,Resolver.java,,Resolver.java,1,8,14,208
193,dnsResolver.java,,dnsResolver.java,1,1,14,14
194,SimpleResolver.java,,SimpleResolver.java,1,1,14,14
195,dnsResolver.java,,dnsResolver.java,1,1,14,14
196,SimpleResolver.java,,SimpleResolver.java,1,1,14,14
197,Resolver.java,,Resolver.java,1,1,14,14
198,Resolver.java,,Resolver.java,1,1,14,14
199,dnsResolver.java,,dnsResolver.java,1,9,16,72
200,Resolver.java,,Resolver.java,1,12,16,144
201,SimpleResolver.java,,SimpleResolver.java,1,14,16,281
202,SimpleResolver.java,,SimpleResolver.java,1,14,16,281
203,Resolver.java,,Resolver.java,1,12,16,144
204,dnsResolver.java,,dnsResolver.java,1,9,16,72
205,dnsSIGRecord.java,,dnsSIGRecord.java,1,1,41,41
206,dnsSIGRecord.java,,dnsSIGRecord.java,1,1,41,41
207,SIGRecord.java,,SIGRecord.java,1,3,41,248
208,SIGRecord.java,,SIGRecord.java,1,3,41,248
209,SOARecord.java,,SOARecord.java,1,4,6,248
210,dnsSOARecord.java,,dnsSOARecord.java,1,2,6,41
211,dnsSOARecord.java,,dnsSOARecord.java,1,2,6,41
212,SOARecord.java,,SOARecord.java,1,6,6,758
213,TSIGRecord.java,,TSIGRecord.java,1,11,7,1222
214,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,3,7,41
215,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,3,7,41
216,TSIGRecord.java,,TSIGRecord.java,1,5,7,268
