cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",31,32,2,1.0000,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48]"
"Type3","Block",31,33,2,0.3333,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 209, 246, 269]"
"Type3","Block",31,34,2,0.3333,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 209, 246, 269]"
"Type3","Block",32,33,2,0.3333,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 209, 246, 269]"
"Type3","Block",32,34,2,0.3333,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 209, 246, 269]"
"Type3","Block",33,34,6,1.0000,0,"SIMILARITY_PRESERVING","[41, 48, 128, 209, 246, 269]","[41, 48, 128, 209, 246, 269]","[41, 48, 128, 209, 246, 269]"
"Type3","Block",583,585,3,0.1875,0,"SIMILARITY_PRESERVING","[87, 248, 267]","[87, 248, 267, 516, 599, 756, 977, 978, 1013, 1105, 1160, 1163]","[87, 248, 267, 1096, 1178, 1210, 1222]"
"Type3","Block",736,737,1,1.0000,0,"SIMILARITY_PRESERVING","[247]","[247]","[247]"
"Type3","Block",738,739,2,1.0000,0,"SIMILARITY_PRESERVING","[117, 238]","[117, 238]","[117, 238]"
"Type3","Block",740,741,1,1.0000,0,"SIMILARITY_PRESERVING","[238]","[238]","[238]"
"Type3","Block",1104,1125,1,0.0588,2,"SIMILARITY_PRESERVING","[1216]","[871, 884, 955, 1003, 1013, 1027, 1045, 1095, 1130, 1131, 1216, 1295]","[938, 950, 991, 1129, 1216, 1327]"
"Type3","Block",1124,1125,5,0.8333,0,"SIMILARITY_PRESERVING","[950, 991, 1129, 1216, 1327]","[950, 991, 1129, 1216, 1327]","[938, 950, 991, 1129, 1216, 1327]"
"Type3","Block",35,36,2,1.0000,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48]"
"Type3","Block",35,37,2,0.5000,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 218]"
"Type3","Block",35,38,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 218, 1421]"
"Type3","Block",36,37,2,0.5000,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 218]"
"Type3","Block",36,38,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 48]","[41, 48]","[41, 48, 128, 218, 1421]"
"Type3","Block",37,38,4,0.8000,0,"SIMILARITY_PRESERVING","[41, 48, 128, 218]","[41, 48, 128, 218]","[41, 48, 128, 218, 1421]"
"Type3","Block",587,588,1,0.1000,0,"SIMILARITY_PRESERVING","[48]","[48, 87, 108, 128, 197, 278, 866, 871, 1210, 1216]","[48]"
"Type3","Block",587,589,6,0.6000,0,"SIMILARITY_PRESERVING","[48, 87, 108, 128, 197, 278]","[48, 87, 108, 128, 197, 278, 866, 871, 1210, 1216]","[48, 87, 108, 128, 197, 278]"
"Type3","Block",587,590,1,0.1000,0,"SIMILARITY_PRESERVING","[48]","[48, 87, 108, 128, 197, 278, 866, 871, 1210, 1216]","[48]"
"Type3","Block",587,592,1,0.2000,0,"SIMILARITY_PRESERVING","[108]","[48, 87, 108, 128, 197, 278, 866, 871, 1210, 1216]","[48, 108]"
"Type3","Block",587,593,1,0.2000,0,"SIMILARITY_PRESERVING","[108]","[48, 87, 108, 128, 197, 278, 866, 871, 1210, 1216]","[48, 108]"
"Type3","Block",588,589,1,0.1667,0,"SIMILARITY_PRESERVING","[48]","[48]","[48, 87, 108, 128, 197, 278]"
"Type3","Block",588,590,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",589,590,1,0.1667,0,"SIMILARITY_PRESERVING","[48]","[48, 87, 108, 128, 197, 278]","[48]"
"Type3","Block",589,592,1,0.3333,0,"SIMILARITY_PRESERVING","[108]","[48, 87, 108, 128, 197, 278]","[48, 108]"
"Type3","Block",589,593,1,0.3333,0,"SIMILARITY_PRESERVING","[108]","[48, 87, 108, 128, 197, 278]","[48, 108]"
"Type3","Block",591,592,1,0.5000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48, 108]"
"Type3","Block",591,593,1,0.5000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48, 108]"
"Type3","Block",591,594,1,1.0000,0,"SIMILARITY_PRESERVING","[48]","[48]","[48]"
"Type3","Block",592,593,2,1.0000,0,"SIMILARITY_PRESERVING","[48, 108]","[48, 108]","[48, 108]"
"Type3","Block",592,594,1,0.5000,0,"SIMILARITY_PRESERVING","[48]","[48, 108]","[48]"
"Type3","Block",593,594,1,0.5000,0,"SIMILARITY_PRESERVING","[48]","[48, 108]","[48]"
"Type3","Block",742,749,1,0.3333,0,"SIMILARITY_PRESERVING","[535]","[535, 1047, 1169]","[535]"
"Type3","Block",750,752,1,0.5000,0,"SIMILARITY_PRESERVING","[117]","[117, 1181]","[117]"
"Type3","Block",1267,1268,1,0.5000,0,"SIMILARITY_PRESERVING","[1354]","[1354, 1402]","[1354]"
"Type3","Block",39,40,1,0.2500,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 135, 218, 269]"
"Type3","Block",39,41,1,0.2500,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 135, 218, 269]"
"Type3","Block",39,42,1,1.0000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41]"
"Type3","Block",40,41,4,1.0000,0,"SIMILARITY_PRESERVING","[41, 135, 218, 269]","[41, 135, 218, 269]","[41, 135, 218, 269]"
"Type3","Block",40,42,1,0.2500,0,"SIMILARITY_PRESERVING","[41]","[41, 135, 218, 269]","[41]"
"Type3","Block",41,42,1,0.2500,0,"SIMILARITY_PRESERVING","[41]","[41, 135, 218, 269]","[41]"
"Type3","Block",341,342,3,0.3000,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 41, 48, 128, 226, 269, 867, 868, 1216, 1370]"
"Type3","Block",341,343,3,0.3333,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206]"
"Type3","Block",341,344,3,0.5000,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 41, 48, 128, 226, 269]"
"Type3","Block",341,345,3,0.7500,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 21, 41, 48]"
"Type3","Block",341,346,3,1.0000,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 41, 48]"
"Type3","Block",341,347,3,0.7500,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 21, 41, 48]"
"Type3","Block",341,348,3,0.2727,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206, 403, 551]"
"Type3","Block",342,343,4,0.2667,0,"SIMILARITY_PRESERVING","[20, 41, 48, 128]","[20, 41, 48, 128, 226, 269, 867, 868, 1216, 1370]","[20, 21, 41, 48, 113, 118, 128, 151, 206]"
"Type3","Block",342,344,6,0.6000,0,"SIMILARITY_PRESERVING","[20, 41, 48, 128, 226, 269]","[20, 41, 48, 128, 226, 269, 867, 868, 1216, 1370]","[20, 41, 48, 128, 226, 269]"
"Type3","Block",342,345,3,0.2727,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48, 128, 226, 269, 867, 868, 1216, 1370]","[20, 21, 41, 48]"
"Type3","Block",342,346,3,0.3000,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48, 128, 226, 269, 867, 868, 1216, 1370]","[20, 41, 48]"
"Type3","Block",342,347,3,0.2727,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48, 128, 226, 269, 867, 868, 1216, 1370]","[20, 21, 41, 48]"
"Type3","Block",342,348,4,0.2353,0,"SIMILARITY_PRESERVING","[20, 41, 48, 128]","[20, 41, 48, 128, 226, 269, 867, 868, 1216, 1370]","[20, 21, 41, 48, 113, 118, 128, 151, 206, 403, 551]"
"Type3","Block",343,344,4,0.3636,0,"SIMILARITY_PRESERVING","[20, 41, 48, 128]","[20, 21, 41, 48, 113, 118, 128, 151, 206]","[20, 41, 48, 128, 226, 269]"
"Type3","Block",343,345,4,0.4444,0,"SIMILARITY_PRESERVING","[20, 21, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206]","[20, 21, 41, 48]"
"Type3","Block",343,346,3,0.3333,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206]","[20, 41, 48]"
"Type3","Block",343,347,4,0.4444,0,"SIMILARITY_PRESERVING","[20, 21, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206]","[20, 21, 41, 48]"
"Type3","Block",343,348,9,0.8182,0,"SIMILARITY_PRESERVING","[20, 21, 41, 48, 113, 118, 128, 151, 206]","[20, 21, 41, 48, 113, 118, 128, 151, 206]","[20, 21, 41, 48, 113, 118, 128, 151, 206, 403, 551]"
"Type3","Block",344,345,3,0.4286,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48, 128, 226, 269]","[20, 21, 41, 48]"
"Type3","Block",344,346,3,0.5000,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48, 128, 226, 269]","[20, 41, 48]"
"Type3","Block",344,347,3,0.4286,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48, 128, 226, 269]","[20, 21, 41, 48]"
"Type3","Block",344,348,4,0.3077,0,"SIMILARITY_PRESERVING","[20, 41, 48, 128]","[20, 41, 48, 128, 226, 269]","[20, 21, 41, 48, 113, 118, 128, 151, 206, 403, 551]"
"Type3","Block",345,346,3,0.7500,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 21, 41, 48]","[20, 41, 48]"
"Type3","Block",345,347,4,1.0000,0,"SIMILARITY_PRESERVING","[20, 21, 41, 48]","[20, 21, 41, 48]","[20, 21, 41, 48]"
"Type3","Block",345,348,4,0.3636,0,"SIMILARITY_PRESERVING","[20, 21, 41, 48]","[20, 21, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206, 403, 551]"
"Type3","Block",346,347,3,0.7500,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 21, 41, 48]"
"Type3","Block",346,348,3,0.2727,0,"SIMILARITY_PRESERVING","[20, 41, 48]","[20, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206, 403, 551]"
"Type3","Block",347,348,4,0.3636,0,"SIMILARITY_PRESERVING","[20, 21, 41, 48]","[20, 21, 41, 48]","[20, 21, 41, 48, 113, 118, 128, 151, 206, 403, 551]"
