globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1131 | Revision_786/Jmol/src/org/openscience/jmol/CrystalPropertiesDialog.java | 405 | 412 | 76 | 1209 | setPrimVectorsState | protected void setPrimVectorsState() | 401 | 420 | org.openscience.jmol | CrystalPropertiesDialog
1132 | Revision_786/Jmol/src/org/openscience/jmol/CrystalPropertiesDialog.java | 1596 | 1601 | 76 | 1213 | updateBarePanels | protected void updateBarePanels() | 1577 | 1628 | org.openscience.jmol | CrystalPropertiesDialog
1133 | Revision_786/Jmol/src/org/openscience/jmol/CrystalPropertiesDialog.java | 1721 | 1730 | 77 | 390 | isCellEditable | public boolean isCellEditable(int row, int col) | 1721 | 1730 | org.openscience.jmol | CrystalPropertiesDialog
108 | Revision_786/Jmol/src/org/openscience/jmol/render/Angle.java | 102 | 108 | 77 | 456 | sameAs | public boolean sameAs(int a1, int a2, int a3) | 95 | 112 | org.openscience.jmol.render | Angle
111 | Revision_786/Jmol/src/org/openscience/jmol/render/Distance.java | 96 | 102 | 77 | 458 | sameAs | public boolean sameAs(int a1, int a2) | 92 | 103 | org.openscience.jmol.render | Distance
225 | Revision_786/Jmol/src/org/openscience/jmol/DecimalNumberField.java | 40 | 45 | 78 | 45 | DecimalNumberField | public DecimalNumberField(int value, int columns) | 40 | 45 | org.openscience.jmol | DecimalNumberField
226 | Revision_786/Jmol/src/org/openscience/jmol/WholeNumberField.java | 40 | 47 | 78 | 143 | WholeNumberField | public WholeNumberField(int value, int columns) | 40 | 47 | org.openscience.jmol | WholeNumberField
227 | Revision_786/Jmol/src/org/openscience/jmol/DecimalNumberField.java | 47 | 59 | 79 | 363 | getValue | public double getValue() | 47 | 59 | org.openscience.jmol | DecimalNumberField
228 | Revision_786/Jmol/src/org/openscience/jmol/WholeNumberField.java | 49 | 61 | 79 | 364 | getValue | public int getValue() | 49 | 61 | org.openscience.jmol | WholeNumberField
229 | Revision_786/Jmol/src/org/openscience/jmol/DecimalNumberField.java | 72 | 92 | 80 | 384 | insertString | public void insertString(int offs, String str, AttributeSet a) | 71 | 92 | org.openscience.jmol | DecimalNumberField
230 | Revision_786/Jmol/src/org/openscience/jmol/WholeNumberField.java | 74 | 89 | 80 | 384 | insertString | public void insertString(int offs, String str, AttributeSet a) | 73 | 89 | org.openscience.jmol | WholeNumberField
1317 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 175 | 181 | 81 | 1599 | getColorSelection | public Color getColorSelection() | 175 | 181 | org.openscience.jmol | DisplayControl
1147 | Revision_786/Jmol/src/org/openscience/jmol/Preferences.java | 71 | 76 | 81 | 1127 | getInstance | public static Preferences getInstance() | 71 | 76 | org.openscience.jmol | Preferences
1146 | Revision_786/Jmol/src/org/openscience/jmol/JmolResourceHandler.java | 69 | 74 | 81 | 1127 | getInstance | public static JmolResourceHandler getInstance() | 69 | 74 | org.openscience.jmol | JmolResourceHandler
1324 | Revision_786/Jmol/src/org/openscience/jmol/render/AtomColors.java | 50 | 55 | 81 | 1127 | getInstance | public static AtomColors getInstance() | 50 | 55 | org.openscience.jmol.render | AtomColors
1417 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 798 | 803 | 82 | 1622 | notifyRepainted | public void notifyRepainted() | 798 | 803 | org.openscience.jmol | DisplayControl
1418 | Revision_786/Jmol/src/org/openscience/jmol/script/Eval.java | 127 | 131 | 82 | 555 | start | public void start() | 126 | 132 | org.openscience.jmol.script | Eval
1310 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 838 | 843 | 83 | 1495 | screenBondWidth | public int screenBondWidth(int z) | 838 | 843 | org.openscience.jmol | DisplayControl
1310 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 845 | 852 | 83 | 1374 | scaleToScreen | public double scaleToScreen(int z, double sizeAngstroms) | 845 | 852 | org.openscience.jmol | DisplayControl
1363 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 949 | 954 | 84 | 1416 | getColorAtom | public Color getColorAtom(Atom atom) | 949 | 954 | org.openscience.jmol | DisplayControl
1364 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 956 | 962 | 84 | 1443 | getColorAtomOutline | public Color getColorAtomOutline(Color color) | 956 | 962 | org.openscience.jmol | DisplayControl
1365 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 965 | 972 | 85 | 1288 | getDarker | public Color getDarker(Color color) | 965 | 972 | org.openscience.jmol | DisplayControl
1366 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 981 | 989 | 85 | 1452 | getColorTransparent | public Color getColorTransparent(Color color) | 981 | 989 | org.openscience.jmol | DisplayControl
1426 | Revision_786/Jmol/src/org/openscience/jmol/DisplayControl.java | 1024 | 1054 | 86 | 1654 | openInputStream | private void openInputStream(InputStream istream) throws JmolException | 1024 | 1054 | org.openscience.jmol | DisplayControl
1427 | Revision_786/Jmol/src/org/openscience/jmol/Jmol.java | 519 | 551 | 86 | 1169 | readMolecule | public void readMolecule(Reader input) throws JmolException | 519 | 551 | org.openscience.jmol | Jmol
1241 | Revision_786/Jmol/src/org/openscience/jmol/EnergyBand.java | 69 | 73 | 87 | NULL | NULL | NULL | NULL | NULL |  | 
1242 | Revision_786/Jmol/src/org/openscience/jmol/EnergyBand.java | 75 | 79 | 87 | 1261 | addKPoint | public void addKPoint(double redpos) | 75 | 79 | org.openscience.jmol | EnergyBand
1327 | Revision_786/Jmol/src/org/openscience/jmol/GuiMap.java | 78 | 83 | 88 | 1424 | KeyJMenu | KeyJMenu(String key) | 78 | 83 | org.openscience.jmol | GuiMap
1328 | Revision_786/Jmol/src/org/openscience/jmol/GuiMap.java | 91 | 96 | 88 | 1425 | KeyJMenuItem | KeyJMenuItem(String key) | 91 | 96 | org.openscience.jmol | GuiMap
1329 | Revision_786/Jmol/src/org/openscience/jmol/GuiMap.java | 119 | 124 | 88 | 1426 | KeyJRadioButtonMenuItem | KeyJRadioButtonMenuItem(String key) | 119 | 124 | org.openscience.jmol | GuiMap
1330 | Revision_786/Jmol/src/org/openscience/jmol/GuiMap.java | 105 | 110 | 88 | 1423 | KeyJCheckBoxMenuItem | KeyJCheckBoxMenuItem(String key, boolean isChecked) | 105 | 110 | org.openscience.jmol | GuiMap
1330 | Revision_786/Jmol/src/org/openscience/jmol/GuiMap.java | 133 | 138 | 88 | 1423 | KeyJCheckBox | KeyJCheckBox(String key, boolean isChecked) | 133 | 138 | org.openscience.jmol | GuiMap
1015 | Revision_786/Jmol/src/org/openscience/jmol/HistoryFile.java | 90 | 99 | 89 | 629 | load | private void load() | 90 | 99 | org.openscience.jmol | HistoryFile
364 | Revision_786/Jmol/src/org/openscience/jmol/Preferences.java | 247 | 256 | 89 | 1234 | sync | public void sync() | 247 | 256 | org.openscience.jmol | Preferences
1017 | Revision_786/Jmol/src/org/openscience/jmol/HistoryFile.java | 104 | 113 | 89 | 1089 | save | private void save() | 104 | 113 | org.openscience.jmol | HistoryFile
1144 | Revision_786/Jmol/src/org/openscience/jmol/PreferencesDialog.java | 1145 | 1155 | 89 | 1089 | save | private void save() | 1145 | 1155 | org.openscience.jmol | PreferencesDialog
1145 | Revision_786/Jmol/src/org/openscience/jmol/Preferences.java | 58 | 66 | 89 | 111 | Preferences | private Preferences() | 58 | 66 | org.openscience.jmol | Preferences
1209 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 113 | 120 | 90 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1212 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 128 | 134 | 90 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
