n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,TP,TN,FP,FN,sensitivity,specificity,gmean,model,verification_revision,threshold,train_size
77,77,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,443,0.573,70
77,77,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,443,0.524,70
77,77,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,443,0.149,70
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,461,0.622,147
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,461,0.573,147
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,461,0.524,147
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,461,0.9,147
5,4,1,0.4082482904638631,1.0,1.0,0.75,0.6666666666666666,2,1,0,2,0.5,1.0,0.7071067811865476,RandomForest,468,0.622,152
5,4,1,1.0,1.0,1.0,1.0,1.0,4,1,0,0,1.0,1.0,1.0,LightGBM,468,0.606,152
5,4,1,0.4082482904638631,1.0,1.0,0.75,0.6666666666666666,2,1,0,2,0.5,1.0,0.7071067811865476,XGBoost,468,0.524,152
5,4,1,1.0,1.0,1.0,1.0,1.0,4,1,0,0,1.0,1.0,1.0,CatBoost,468,0.9,152
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,469,0.622,157
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,469,0.606,157
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,469,0.524,157
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,469,0.9,157
8,7,1,0.0,1.0,1.0,0.5,0.9333333333333333,7,0,1,0,1.0,0.0,0.0,RandomForest,470,0.622,158
8,7,1,0.0,0.5714285714285714,0.9464285714285713,0.5,0.9333333333333333,7,0,1,0,1.0,0.0,0.0,LightGBM,470,0.606,158
8,7,1,0.0,1.0,1.0,0.5,0.9333333333333333,7,0,1,0,1.0,0.0,0.0,XGBoost,470,0.524,158
8,7,1,1.0,1.0,0.9999999999999999,1.0,1.0,7,1,0,0,1.0,1.0,1.0,CatBoost,470,0.9,158
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,474,0.639,166
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,474,0.606,166
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,474,0.524,166
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,474,0.9,166
38,37,1,0.34596404392815117,1.0,1.0,0.9189189189189189,0.9117647058823529,31,1,0,6,0.8378,1.0,0.9153348228041135,RandomForest,475,0.639,169
38,37,1,0.4223486455268661,1.0,0.9999999999999998,0.9459459459459459,0.9428571428571428,33,1,0,4,0.8919,1.0,0.944400281603035,LightGBM,475,0.606,169
38,37,1,0.3796631983009996,0.9459459459459459,0.9985583022567373,0.9324324324324325,0.927536231884058,32,1,0,5,0.8649,1.0,0.9299811099505543,XGBoost,475,0.524,169
38,37,1,0.31835726998350666,0.972972972972973,0.9992887624466571,0.9054054054054055,0.8955223880597015,30,1,0,7,0.8108,1.0,0.9004503377814963,CatBoost,475,0.9,169
8,6,2,0.0,1.0,1.0,0.5,0.8571428571428571,6,0,2,0,1.0,0.0,0.0,RandomForest,476,0.639,207
8,6,2,0.0,1.0,1.0,0.5,0.8571428571428571,6,0,2,0,1.0,0.0,0.0,LightGBM,476,0.606,207
8,6,2,0.0,1.0,1.0,0.5,0.8571428571428571,6,0,2,0,1.0,0.0,0.0,XGBoost,476,0.524,207
8,6,2,0.0,1.0,1.0,0.5,0.8571428571428571,6,0,2,0,1.0,0.0,0.0,CatBoost,476,0.9,207
17,17,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,477,0.639,215
17,17,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,477,0.606,215
17,17,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,477,0.639,215
17,17,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,477,0.9,215
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,525,0.639,232
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,525,0.606,232
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,525,0.639,232
