n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size,TP,TN,FP,FN,sensitivity,specificity
6,1,5,0.0,0.6,0.3333333333333333,0.5,0.0,0.0,RandomForest,374,0.459,146,0.0,5.0,0.0,1.0,0.0,1.0
6,1,5,-0.2,0.6,0.3333333333333333,0.4,0.0,0.0,LightGBM,374,0.165,146,0.0,4.0,1.0,1.0,0.0,0.8
6,1,5,-0.31622776601683794,0.6,0.3333333333333333,0.3,0.0,0.0,XGBoost,374,0.345,146,0.0,3.0,2.0,1.0,0.0,0.6
6,1,5,-0.2,0.6,0.3333333333333333,0.4,0.0,0.0,CatBoost,374,0.802,146,0.0,4.0,1.0,1.0,0.0,0.8
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,377,0.459,152,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,377,0.165,152,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,377,0.361,152,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,377,0.149,152,,,,,,
3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,380,0.459,153,1.0,2.0,0.0,0.0,1.0,1.0
3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,380,0.165,153,1.0,2.0,0.0,0.0,1.0,1.0
3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,380,0.361,153,1.0,2.0,0.0,0.0,1.0,1.0
3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,380,0.149,153,1.0,2.0,0.0,0.0,1.0,1.0
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,381,0.459,156,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,381,0.165,156,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,381,0.737,156,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,381,0.149,156,,,,,,
2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,386,0.459,157,1.0,1.0,0.0,0.0,1.0,1.0
2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,386,0.165,157,1.0,1.0,0.0,0.0,1.0,1.0
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,386,0.737,157,0.0,1.0,0.0,1.0,0.0,1.0
2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,386,0.149,157,1.0,1.0,0.0,0.0,1.0,1.0
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,390,0.459,159,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,390,0.165,159,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,390,0.361,159,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,390,0.149,159,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,391,0.459,161,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,391,0.165,161,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,391,0.361,161,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,391,0.149,161,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,393,0.459,163,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,393,0.165,163,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,393,0.361,163,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,393,0.149,163,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,400,0.459,164,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,400,0.165,164,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,400,0.361,164,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,400,0.149,164,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,402,0.459,166,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,402,0.165,166,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,402,0.361,166,,,,,,
