n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,205,0.9,185
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,205,0.9,185
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,205,0.231,185
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,206,0.524,193
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,206,0.9,193
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,206,0.9,193
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,206,0.231,193
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,207,0.786,194
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,207,0.9,194
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,207,0.9,194
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,207,0.231,194
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,209,0.786,198
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,209,0.9,198
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,209,0.9,198
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,209,0.231,198
21,1,20,0.0,1.0,1.0,0.5,0.0,0.0,RandomForest,210,0.786,208
21,1,20,0.0,0.9500000000000001,0.5,0.5,0.0,0.0,LightGBM,210,0.9,208
21,1,20,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,210,0.9,208
21,1,20,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,210,0.231,208
13,1,12,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,212,0.524,229
13,1,12,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,212,0.9,229
13,1,12,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,212,0.9,229
13,1,12,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,212,0.165,229
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,RandomForest,215,0.524,242
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,215,0.1,242
2,1,1,0.0,0.0,0.5,0.5,0.0,0.0,XGBoost,215,0.9,242
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,215,0.165,242
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,216,0.524,244
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,216,0.1,244
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,216,0.9,244
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,216,0.165,244
22,0,22,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,230,0.524,251
22,0,22,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,230,0.1,251
22,0,22,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,230,0.9,251
22,0,22,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,230,0.165,251
15,0,15,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,232,0.394,273
15,0,15,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,232,0.1,273
15,0,15,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,232,0.704,273
15,0,15,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,232,0.165,273
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,237,0.41,288
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,237,0.214,288
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,237,0.704,288
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,237,0.165,288
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,238,0.41,294
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,238,0.214,294
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,238,0.704,294
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,238,0.165,294
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,240,0.41,295
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,240,0.214,295
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,240,0.704,295
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,240,0.165,295
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,266,0.182,297
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,266,0.214,297
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,266,0.704,297
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,266,0.165,297
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,279,0.182,298
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,279,0.214,298
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,279,0.704,298
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,279,0.165,298
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,284,0.182,299
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,284,0.214,299
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,284,0.704,299
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,284,0.165,299
11,1,10,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,287,0.182,303
11,1,10,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,287,0.296,303
