n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,338,0.1,129
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,RandomForest,345,0.263,130
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,LightGBM,345,0.182,130
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,XGBoost,345,0.41,130
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,CatBoost,345,0.1,130
12,8,4,0.816496580927726,0.875,0.9411764705882353,0.8125,0.8819444444444444,8,3,1,0,1.0,0.75,0.8660254037844386,RandomForest,346,0.263,133
12,8,4,0.816496580927726,0.875,0.9411764705882353,0.84375,0.9115079365079365,8,3,1,0,1.0,0.75,0.8660254037844386,LightGBM,346,0.182,133
12,8,4,0.816496580927726,0.875,0.9411764705882353,0.828125,0.8501984126984128,8,3,1,0,1.0,0.75,0.8660254037844386,XGBoost,346,0.41,133
12,8,4,0.816496580927726,0.875,0.9411764705882353,0.75,0.7986111111111112,8,3,1,0,1.0,0.75,0.8660254037844386,CatBoost,346,0.1,133
6,4,2,0.6324555320336759,0.75,0.8888888888888888,0.5,0.6916666666666667,4,1,1,0,1.0,0.5,0.7071067811865476,RandomForest,374,0.361,145
6,4,2,0.6324555320336759,0.75,0.8888888888888888,0.75,0.8875,4,1,1,0,1.0,0.5,0.7071067811865476,LightGBM,374,0.182,145
6,4,2,0.6324555320336759,0.75,0.8888888888888888,1.0,1.0,4,1,1,0,1.0,0.5,0.7071067811865476,XGBoost,374,0.41,145
6,4,2,0.6324555320336759,0.75,0.8888888888888888,0.5,0.7208333333333333,4,1,1,0,1.0,0.5,0.7071067811865476,CatBoost,374,0.1,145
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,377,0.263,151
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,377,0.182,151
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,377,0.41,151
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,377,0.1,151
3,2,1,0.0,0.5,0.8,1.0,1.0,2,0,1,0,1.0,0.0,0.0,RandomForest,380,0.263,152
3,2,1,0.0,0.5,0.8,1.0,1.0,2,0,1,0,1.0,0.0,0.0,LightGBM,380,0.182,152
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,XGBoost,380,0.41,152
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,CatBoost,380,0.1,152
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,381,0.263,155
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,381,0.182,155
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,381,0.41,155
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,381,0.1,155
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,386,0.263,156
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,386,0.182,156
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,386,0.41,156
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,386,0.378,156
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,390,0.263,158
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,390,0.182,158
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,390,0.41,158
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,390,0.378,158
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,391,0.378,160
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,391,0.182,160
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,391,0.41,160
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,391,0.378,160
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,400,0.378,162
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,400,0.182,162
