revision,gcid1,gcid2,classId,sameFile,same_folder,file_distance,distance_bucket,dep_label,depth,similarity,filepath1,filepath2,folder1,folder2
65,136,139,109,1,1,0,0 (same dir),1,0,83,readtags.c,readtags.c,,
65,152,153,110,1,1,0,0 (same dir),1,0,80,readtags.c,readtags.c,,
96,31,32,9,1,1,0,0 (same dir),1,0,100,asp.c,asp.c,,
96,31,35,9,0,1,1,1,0,1,100,asp.c,,,
96,31,37,9,0,1,1,1,0,1,100,asp.c,,,
96,32,35,9,0,1,1,1,0,1,100,asp.c,,,
96,32,37,9,0,1,1,1,0,1,100,asp.c,,,
96,45,46,14,1,1,0,0 (same dir),1,0,75,beta.c,beta.c,,
96,45,65,14,0,1,1,1,0,1,75,beta.c,,,
96,46,65,14,0,1,1,1,0,1,75,beta.c,,,
96,71,105,30,0,1,1,1,0,1,75,,main.c,,
96,105,106,30,1,1,0,0 (same dir),0,0,75,main.c,,,
96,85,87,38,0,1,1,1,0,1,71,,readtags.c,,
96,85,88,38,0,1,1,1,0,1,71,,readtags.c,,
96,86,87,38,0,1,1,1,0,1,71,,readtags.c,,
96,86,88,38,0,1,1,1,0,1,71,,readtags.c,,
96,87,88,38,1,1,0,0 (same dir),1,0,71,readtags.c,readtags.c,,
96,87,116,38,0,1,1,1,0,1,71,readtags.c,,,
96,87,117,38,0,1,1,1,0,1,71,readtags.c,,,
96,88,116,38,0,1,1,1,0,1,71,readtags.c,,,
96,88,117,38,0,1,1,1,0,1,71,readtags.c,,,
96,62,145,53,1,1,0,0 (same dir),0,0,75,,strlist.c,,
96,144,145,53,1,1,0,0 (same dir),0,0,85,,strlist.c,,
96,110,111,106,0,1,1,1,0,1,75,readtags.c,,,
96,150,151,107,1,1,0,0 (same dir),1,0,100,readtags.c,readtags.c,,
96,134,135,108,1,1,0,0 (same dir),1,0,75,readtags.c,readtags.c,,
96,136,139,109,1,1,0,0 (same dir),0,0,83,,readtags.c,,
96,152,153,110,1,1,0,0 (same dir),1,0,80,readtags.c,readtags.c,,
106,164,165,46,1,1,0,0 (same dir),0,0,71,routines.c,,,
106,164,166,46,1,1,0,0 (same dir),1,0,71,routines.c,routines.c,,
106,165,166,46,1,1,0,0 (same dir),0,0,83,,routines.c,,
106,62,167,53,0,1,1,1,0,1,75,,routines.c,,
106,144,167,53,0,1,1,1,0,1,85,,routines.c,,
106,145,167,53,0,1,1,1,0,1,85,,routines.c,,
106,149,155,105,0,1,1,1,0,1,83,,routines.c,,
106,149,156,105,0,1,1,1,0,1,83,,routines.c,,
106,155,156,105,1,1,0,0 (same dir),1,0,83,routines.c,routines.c,,
106,157,158,111,1,1,0,0 (same dir),1,0,80,routines.c,routines.c,,
106,94,159,112,0,1,1,1,0,1,75,,routines.c,,
106,95,159,112,0,1,1,1,0,1,75,,routines.c,,
106,160,161,113,1,1,0,0 (same dir),1,0,100,routines.c,routines.c,,
106,162,163,114,1,1,0,0 (same dir),1,0,100,routines.c,routines.c,,
119,36,170,6,0,1,1,1,0,1,72,,asm.c,,
130,77,79,49,1,1,0,0 (same dir),1,0,87,get.c,get.c,,
130,80,81,50,0,1,1,1,0,1,80,get.c,,,
136,94,95,112,1,1,0,0 (same dir),1,0,75,vstring.c,vstring.c,,
136,94,159,112,0,1,1,1,0,1,75,vstring.c,,,
136,95,159,112,0,1,1,1,0,1,75,vstring.c,,,
137,164,171,46,1,1,0,0 (same dir),1,0,71,routines.c,routines.c,,
137,164,172,46,1,1,0,0 (same dir),1,0,71,routines.c,routines.c,,
137,164,173,46,1,1,0,0 (same dir),1,0,71,routines.c,routines.c,,
137,171,172,46,1,1,0,0 (same dir),1,0,71,routines.c,routines.c,,
137,171,173,46,1,1,0,0 (same dir),1,0,71,routines.c,routines.c,,
137,172,173,46,1,1,0,0 (same dir),1,0,71,routines.c,routines.c,,
137,74,168,48,0,1,1,1,0,1,70,,routines.c,,
137,74,169,48,0,1,1,1,0,1,70,,routines.c,,
137,75,168,48,0,1,1,1,0,1,70,,routines.c,,
137,75,169,48,0,1,1,1,0,1,70,,routines.c,,
137,76,168,48,0,1,1,1,0,1,70,,routines.c,,
137,76,169,48,0,1,1,1,0,1,70,,routines.c,,
137,168,169,48,1,1,0,0 (same dir),1,0,75,routines.c,routines.c,,
137,62,167,53,0,1,1,1,0,1,75,,routines.c,,
137,144,167,53,0,1,1,1,0,1,85,,routines.c,,
137,145,167,53,0,1,1,1,0,1,85,,routines.c,,
139,74,168,48,0,1,1,1,0,1,70,,routines.c,,
139,74,169,48,0,1,1,1,0,1,70,,routines.c,,
139,75,168,48,0,1,1,1,0,1,70,,routines.c,,
139,75,169,48,0,1,1,1,0,1,70,,routines.c,,
139,76,168,48,0,1,1,1,0,1,70,,routines.c,,
139,76,169,48,0,1,1,1,0,1,70,,routines.c,,
139,168,169,48,1,1,0,0 (same dir),1,0,75,routines.c,routines.c,,
139,149,155,105,0,1,1,1,0,1,83,,routines.c,,
139,155,156,105,1,1,0,0 (same dir),0,0,83,routines.c,,,
139,157,158,111,1,1,0,0 (same dir),1,0,80,routines.c,routines.c,,
139,94,159,112,0,1,1,1,0,1,75,,routines.c,,
139,95,159,112,0,1,1,1,0,1,75,,routines.c,,
139,160,161,113,1,1,0,0 (same dir),1,0,100,routines.c,routines.c,,
139,162,163,114,1,1,0,0 (same dir),0,0,100,,routines.c,,
150,6,9,4,0,1,1,1,0,1,83,,asm.c,,
150,7,9,4,0,1,1,1,0,1,83,,asm.c,,
150,8,9,4,0,1,1,1,0,1,80,,asm.c,,
150,9,175,4,1,1,0,0 (same dir),1,0,88,asm.c,,,
156,10,16,1,0,1,1,1,0,1,70,,ruby.c,,
156,11,16,1,0,1,1,1,0,1,70,,ruby.c,,
156,13,16,1,0,1,1,1,0,1,70,,ruby.c,,
156,15,16,1,0,1,1,1,0,1,70,,ruby.c,,
156,16,17,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,20,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,22,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,24,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,25,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,26,1,0,1,1,1,0,1,70,ruby.c,,,
