cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",75,726,2,0.3333,0,"SIMILARITY_PRESERVING","[298, 302]","[298, 302, 315]","[298, 302, 498, 2852, 2859]"
"Type3","Block",76,77,5,0.7143,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[136, 302, 315, 334, 482, 1076, 1262]"
"Type3","Block",76,78,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",76,79,3,0.7143,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[96, 130, 302, 315, 334, 1076, 1262]"
"Type3","Block",76,80,3,0.6250,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[96, 130, 302, 315, 334, 335, 1076, 1262]"
"Type3","Block",76,81,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",76,802,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",77,78,5,0.7143,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[136, 302, 315, 334, 482, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",77,79,3,0.5556,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[136, 302, 315, 334, 482, 1076, 1262]","[96, 130, 302, 315, 334, 1076, 1262]"
"Type3","Block",77,80,3,0.5000,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[136, 302, 315, 334, 482, 1076, 1262]","[96, 130, 302, 315, 334, 335, 1076, 1262]"
"Type3","Block",77,81,5,0.7143,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[136, 302, 315, 334, 482, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",77,802,5,0.7143,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[136, 302, 315, 334, 482, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",78,79,3,0.7143,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[96, 130, 302, 315, 334, 1076, 1262]"
"Type3","Block",78,80,3,0.6250,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[96, 130, 302, 315, 334, 335, 1076, 1262]"
"Type3","Block",78,81,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",78,802,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",79,80,7,0.8750,0,"SIMILARITY_PRESERVING","[96, 130, 302, 315, 334, 1076, 1262]","[96, 130, 302, 315, 334, 1076, 1262]","[96, 130, 302, 315, 334, 335, 1076, 1262]"
