revision,gcid1,gcid2,classId,similarity,classSize,sim_bucket,class_bucket,sameFile,depth,dep_label
1013,1063,1153,62,73,14,71-80,11-20,0,3,1
1013,1064,1151,62,73,14,71-80,11-20,0,3,1
1013,1064,1153,62,73,14,71-80,11-20,0,3,1
1013,1158,1159,139,100,6,96-100,6-10,1,0,1
1014,771,1140,47,77,7,71-80,6-10,0,1,0
1015,1009,1089,16,75,11,71-80,11-20,0,4,0
1015,1089,1100,16,75,11,71-80,11-20,0,1,0
1015,1090,1147,61,71,15,71-80,11-20,0,1,0
1015,1090,1148,61,71,15,71-80,11-20,0,1,0
1024,1034,1160,6,75,16,71-80,11-20,0,1,0
1024,1034,1161,6,75,16,71-80,11-20,0,1,0
1024,1092,1160,6,100,16,96-100,11-20,0,1,0
1024,1092,1161,6,100,16,96-100,11-20,1,0,0
1024,1160,1161,6,75,16,71-80,11-20,0,1,1
1024,561,1152,54,75,15,71-80,11-20,0,4,0
1024,810,1152,54,80,15,71-80,11-20,0,5,0
1024,1152,1157,54,85,15,81-90,11-20,0,3,0
1024,1063,1151,62,73,14,71-80,11-20,0,3,0
1024,1064,1151,62,73,14,71-80,11-20,0,3,0
1024,1151,1153,62,71,14,71-80,11-20,1,0,0
1024,1149,1150,63,80,11,71-80,11-20,1,0,1
1024,1149,1154,63,80,11,71-80,11-20,1,0,0
1024,1149,1155,63,80,11,71-80,11-20,1,0,0
1024,1149,1156,63,80,11,71-80,11-20,1,0,0
1024,1150,1154,63,80,11,71-80,11-20,1,0,0
1024,1150,1155,63,80,11,71-80,11-20,1,0,0
1024,1150,1156,63,80,11,71-80,11-20,1,0,0
1026,561,1157,54,75,15,71-80,11-20,0,1,0
1026,810,1157,54,80,15,71-80,11-20,0,2,0
1026,1152,1157,54,85,15,81-90,11-20,0,3,0
1027,1009,1100,16,75,11,71-80,11-20,0,4,0
1027,1089,1100,16,75,11,71-80,11-20,0,1,0
1027,154,1104,34,75,19,71-80,11-20,0,1,0
1027,342,1104,34,75,19,71-80,11-20,0,1,0
1027,477,1104,34,75,19,71-80,11-20,0,1,0
1027,479,1104,34,75,19,71-80,11-20,0,4,0
1027,653,1104,34,80,19,71-80,11-20,0,1,0
1027,1104,1124,34,75,19,71-80,11-20,0,1,0
1027,1104,1125,34,75,19,71-80,11-20,0,1,0
1027,771,1140,47,77,7,71-80,6-10,0,1,0
1033,1163,1164,52,80,17,71-80,11-20,1,0,0
1040,1021,1166,9,71,19,71-80,11-20,0,1,0
1040,1030,1166,9,71,19,71-80,11-20,0,1,0
1040,1068,1166,9,71,19,71-80,11-20,0,1,0
1040,1069,1166,9,71,19,71-80,11-20,0,1,0
1040,1097,1166,9,71,19,71-80,11-20,0,1,0
1040,1121,1166,9,71,19,71-80,11-20,0,1,0
1040,1165,1166,9,75,19,71-80,11-20,0,1,0
1040,771,1140,47,77,7,71-80,6-10,0,1,0
1040,1163,1164,52,80,17,71-80,11-20,1,0,1
1040,561,810,54,75,15,71-80,11-20,0,1,0
1040,561,1152,54,75,15,71-80,11-20,0,4,0
1040,561,1157,54,75,15,71-80,11-20,0,1,0
1042,494,1034,6,75,16,71-80,11-20,0,4,0
1042,494,1092,6,75,16,71-80,11-20,0,4,0
1042,494,1160,6,75,16,71-80,11-20,0,4,0
1042,494,1161,6,75,16,71-80,11-20,0,4,0
1044,758,1145,43,76,13,71-80,11-20,0,4,0
1044,999,1145,43,76,13,71-80,11-20,0,1,0
1045,120,1131,4,71,116,71-80,21+,0,4,0
1045,1009,1100,16,75,11,71-80,11-20,0,4,0
1045,1089,1100,16,75,11,71-80,11-20,0,1,0
1045,154,1104,34,75,19,71-80,11-20,0,1,0
1045,342,1104,34,75,19,71-80,11-20,0,1,0
1045,477,1104,34,75,19,71-80,11-20,0,1,0
1045,479,1104,34,75,19,71-80,11-20,0,4,0
1045,653,1104,34,80,19,71-80,11-20,0,1,0
1045,1104,1124,34,75,19,71-80,11-20,0,1,0
1045,1104,1125,34,75,19,71-80,11-20,0,1,0
1045,778,1167,42,75,23,71-80,21+,0,1,0
1045,1102,1167,42,75,23,71-80,21+,0,1,0
1046,836,1168,18,75,20,71-80,11-20,0,4,0
1046,836,1169,18,75,20,71-80,11-20,0,4,0
1046,1168,1169,18,83,20,81-90,11-20,0,1,1
1046,1158,1159,139,100,6,96-100,6-10,1,0,0
1047,836,1170,18,75,20,71-80,11-20,0,4,0
1047,1170,1171,18,75,20,71-80,11-20,0,1,0
1047,742,750,20,72,15,71-80,11-20,0,1,0
1047,763,1091,59,75,10,71-80,6-10,0,1,0
1048,124,568,7,75,27,71-80,21+,0,1,0
1048,124,1048,7,75,27,71-80,21+,0,1,1
1048,124,1060,7,75,27,71-80,21+,0,1,0
1048,124,1093,7,75,27,71-80,21+,0,1,0
1048,568,1048,7,75,27,71-80,21+,0,1,0
1048,1048,1060,7,75,27,71-80,21+,0,1,0
1048,1048,1093,7,75,27,71-80,21+,1,0,0
1048,154,653,34,75,19,71-80,11-20,0,1,0
1048,342,653,34,75,19,71-80,11-20,0,1,0
1048,477,653,34,75,19,71-80,11-20,0,1,0
1048,479,653,34,75,19,71-80,11-20,0,4,0
1048,653,1104,34,80,19,71-80,11-20,0,1,0
1048,653,1124,34,80,19,71-80,11-20,0,1,0
1048,653,1125,34,80,19,71-80,11-20,0,1,0
1049,1158,1159,139,100,6,96-100,6-10,1,0,0
1054,494,1034,6,75,16,71-80,11-20,0,4,0
1054,1034,1092,6,75,16,71-80,11-20,0,1,0
1054,1034,1160,6,75,16,71-80,11-20,0,1,0
1054,1034,1161,6,75,16,71-80,11-20,0,1,0
1054,1101,1115,40,75,14,71-80,11-20,0,1,0
1054,1114,1115,40,80,14,71-80,11-20,0,1,0
1056,1021,1166,9,71,19,71-80,11-20,0,1,0
1056,1030,1166,9,71,19,71-80,11-20,0,1,0
1056,1068,1166,9,71,19,71-80,11-20,0,1,0
1056,1069,1166,9,71,19,71-80,11-20,0,1,0
1056,1097,1166,9,71,19,71-80,11-20,0,1,0
1056,1121,1166,9,71,19,71-80,11-20,0,1,0
1056,1165,1166,9,75,19,71-80,11-20,0,1,0
1056,154,342,34,75,19,71-80,11-20,0,1,0
1056,154,477,34,75,19,71-80,11-20,1,0,1
1056,154,479,34,75,19,71-80,11-20,1,4,1
1056,154,1104,34,75,19,71-80,11-20,0,1,0
1056,154,1124,34,75,19,71-80,11-20,0,1,0
1056,154,1125,34,75,19,71-80,11-20,0,1,0
1056,342,477,34,75,19,71-80,11-20,0,1,0
1056,342,479,34,75,19,71-80,11-20,0,4,0
1056,477,479,34,75,19,71-80,11-20,1,4,1
1056,477,1104,34,75,19,71-80,11-20,0,1,0
1056,477,1124,34,75,19,71-80,11-20,0,1,0
1056,477,1125,34,75,19,71-80,11-20,0,1,0
1056,479,1104,34,75,19,71-80,11-20,0,4,0
1056,479,1124,34,75,19,71-80,11-20,0,4,0
1056,479,1125,34,75,19,71-80,11-20,0,4,0
1056,1163,1164,52,80,17,71-80,11-20,1,0,1
1057,1041,1112,38,75,20,71-80,11-20,0,1,0
1057,1041,1113,38,75,20,71-80,11-20,0,1,0
1057,1041,1146,38,75,20,71-80,11-20,0,1,0
1067,839,1072,3,70,39,<=70,21+,0,1,0
1067,841,1072,3,70,39,<=70,21+,0,4,0
1067,1046,1072,3,70,39,<=70,21+,0,1,0
1067,1050,1072,3,75,39,71-80,21+,0,1,0
1067,1056,1072,3,70,39,<=70,21+,0,1,0
1067,1072,1087,3,75,39,71-80,21+,0,3,0
1067,1072,1173,3,75,39,71-80,21+,0,1,0
1079,1163,1164,52,80,17,71-80,11-20,1,0,0
1081,1163,1164,52,80,17,71-80,11-20,1,0,0
1082,1163,1164,52,80,17,71-80,11-20,1,0,0
1083,1041,1112,38,75,20,71-80,11-20,0,1,0
1083,1041,1113,38,75,20,71-80,11-20,0,1,0
1083,1112,1113,38,75,20,71-80,11-20,1,0,1
1083,1112,1146,38,75,20,71-80,11-20,0,1,0
1083,1113,1146,38,75,20,71-80,11-20,0,1,0
1095,1009,1100,16,75,11,71-80,11-20,0,4,0
1095,1089,1100,16,75,11,71-80,11-20,0,1,0
1095,154,1104,34,75,19,71-80,11-20,0,1,0
1095,342,1104,34,75,19,71-80,11-20,0,1,0
1095,477,1104,34,75,19,71-80,11-20,0,1,0
1095,479,1104,34,75,19,71-80,11-20,0,4,0
1095,1104,1124,34,75,19,71-80,11-20,0,1,0
1095,1104,1125,34,75,19,71-80,11-20,0,1,0
1096,124,568,7,75,27,71-80,21+,0,1,0
1096,124,1048,7,75,27,71-80,21+,0,1,1
1096,124,1060,7,75,27,71-80,21+,0,1,0
1096,124,1093,7,75,27,71-80,21+,0,1,0
1096,568,1048,7,75,27,71-80,21+,0,1,0
1096,1048,1060,7,75,27,71-80,21+,0,1,0
1096,1048,1093,7,75,27,71-80,21+,1,0,0
1096,1141,1142,14,77,11,71-80,11-20,0,1,0
1096,1142,1144,14,77,11,71-80,11-20,0,1,0
1096,455,468,21,70,19,<=70,11-20,1,4,0
1096,455,585,21,70,19,<=70,11-20,0,4,1
1096,455,1082,21,70,19,<=70,11-20,0,4,1
1096,455,1094,21,70,19,<=70,11-20,0,4,0
1096,468,585,21,70,19,<=70,11-20,0,1,0
1096,468,1082,21,70,19,<=70,11-20,0,1,0
1096,585,1082,21,70,19,<=70,11-20,0,1,1
1096,585,1094,21,70,19,<=70,11-20,0,1,0
1096,1082,1094,21,70,19,<=70,11-20,1,0,0
1096,69,121,46,70,9,<=70,6-10,0,1,0
1096,69,1174,46,70,9,<=70,6-10,0,1,0
1096,818,820,55,85,12,81-90,11-20,1,0,0
1096,213,322,60,88,21,81-90,21+,0,5,0
1096,213,361,60,88,21,81-90,21+,0,4,0
1096,213,389,60,88,21,81-90,21+,0,4,0
1096,213,390,60,88,21,81-90,21+,0,4,0
1096,213,391,60,88,21,81-90,21+,0,1,0
1096,213,392,60,88,21,81-90,21+,0,5,0
1096,213,1172,60,88,21,81-90,21+,0,1,1
1096,322,1172,60,80,21,71-80,21+,0,5,0
1096,361,1172,60,80,21,71-80,21+,0,4,0
1096,389,1172,60,100,21,96-100,21+,0,4,0
1096,390,1172,60,100,21,96-100,21+,0,4,0
1096,391,1172,60,100,21,96-100,21+,0,1,0
1096,392,1172,60,100,21,96-100,21+,0,5,0
1104,1151,1153,62,71,14,71-80,11-20,1,0,0
1105,494,1160,6,75,16,71-80,11-20,0,4,0
1105,1034,1160,6,75,16,71-80,11-20,0,1,0
1105,1092,1160,6,100,16,96-100,11-20,0,1,0
1105,1160,1161,6,75,16,71-80,11-20,0,1,0
1105,500,505,13,81,10,81-90,6-10,1,4,0
1105,500,580,13,81,10,81-90,6-10,0,1,1
1105,500,583,13,81,10,81-90,6-10,0,4,1
1105,500,1096,13,81,10,81-90,6-10,0,1,0
1105,500,1176,13,81,10,81-90,6-10,0,1,0
1105,505,580,13,70,10,<=70,6-10,0,4,0
1105,505,583,13,70,10,<=70,6-10,0,1,0
1105,580,583,13,70,10,<=70,6-10,1,4,1
1105,580,1096,13,70,10,<=70,6-10,0,1,0
1105,580,1176,13,70,10,<=70,6-10,0,1,0
1105,583,1096,13,81,10,81-90,6-10,0,4,0
1105,583,1176,13,81,10,81-90,6-10,0,4,0
1105,375,376,65,83,6,81-90,6-10,1,0,1
1106,500,1096,13,81,10,81-90,6-10,0,1,0
1106,505,1096,13,70,10,<=70,6-10,0,4,0
1106,580,1096,13,70,10,<=70,6-10,0,1,0
1106,583,1096,13,81,10,81-90,6-10,0,4,0
1106,1096,1176,13,70,10,<=70,6-10,0,1,0
1107,1021,1166,9,71,19,71-80,11-20,0,1,0
1107,1030,1166,9,71,19,71-80,11-20,0,1,0
1107,1068,1166,9,71,19,71-80,11-20,0,1,0
1107,1069,1166,9,71,19,71-80,11-20,0,1,0
1107,1097,1166,9,71,19,71-80,11-20,0,1,0
1107,1121,1166,9,71,19,71-80,11-20,0,1,0
1107,1165,1166,9,75,19,71-80,11-20,0,1,0
1107,154,342,34,75,19,71-80,11-20,0,1,0
1107,154,477,34,75,19,71-80,11-20,1,0,0
1107,154,479,34,75,19,71-80,11-20,1,4,0
1107,154,1104,34,75,19,71-80,11-20,0,1,0
1107,154,1124,34,75,19,71-80,11-20,0,1,0
1107,154,1125,34,75,19,71-80,11-20,0,1,0
1107,771,1140,47,77,7,71-80,6-10,0,1,0
1107,1163,1164,52,80,17,71-80,11-20,1,0,1
1108,1009,1089,16,75,11,71-80,11-20,0,4,0
1108,1009,1100,16,75,11,71-80,11-20,0,4,0
1108,836,1170,18,75,20,71-80,11-20,0,4,0
1108,836,1171,18,75,20,71-80,11-20,0,4,0
1108,1079,1120,19,80,8,71-80,6-10,1,0,0
1109,836,1170,18,75,20,71-80,11-20,0,4,0
1109,836,1171,18,75,20,71-80,11-20,0,4,0
1109,1079,1120,19,80,8,71-80,6-10,1,0,1
1110,500,1176,13,81,10,81-90,6-10,0,1,0
1110,505,1176,13,70,10,<=70,6-10,0,4,0
1110,580,1176,13,70,10,<=70,6-10,0,1,0
1110,583,1176,13,81,10,81-90,6-10,0,4,0
1110,1096,1176,13,70,10,<=70,6-10,0,1,0
1115,1101,1114,40,75,14,71-80,11-20,0,1,0
1115,1114,1115,40,80,14,71-80,11-20,0,1,0
1126,839,1072,3,70,39,<=70,21+,0,1,0
1126,841,1072,3,70,39,<=70,21+,0,4,0
1126,1046,1072,3,70,39,<=70,21+,0,1,0
1126,1050,1072,3,75,39,71-80,21+,0,1,0
1126,1056,1072,3,70,39,<=70,21+,0,1,0
1126,1072,1087,3,75,39,71-80,21+,0,3,0
1126,1072,1173,3,75,39,71-80,21+,0,1,0
1129,1021,1121,9,71,19,71-80,11-20,0,1,0
1129,1030,1121,9,71,19,71-80,11-20,0,1,0
1129,1068,1121,9,71,19,71-80,11-20,0,1,0
1129,1069,1121,9,71,19,71-80,11-20,0,1,0
1129,1097,1121,9,71,19,71-80,11-20,0,1,0
1129,1121,1165,9,71,19,71-80,11-20,0,1,0
1129,1121,1166,9,71,19,71-80,11-20,0,1,0
1129,509,1128,22,70,29,<=70,21+,0,1,0
1129,587,1128,22,70,29,<=70,21+,0,4,0
1129,957,1128,22,70,29,<=70,21+,0,4,0
1129,1083,1128,22,70,29,<=70,21+,0,1,0
1129,154,1124,34,75,19,71-80,11-20,0,1,0
1129,154,1125,34,75,19,71-80,11-20,0,1,0
1129,342,1124,34,75,19,71-80,11-20,0,1,0
1129,342,1125,34,75,19,71-80,11-20,0,1,0
1129,477,1124,34,75,19,71-80,11-20,0,1,0
1129,477,1125,34,75,19,71-80,11-20,0,1,0
1129,479,1124,34,75,19,71-80,11-20,0,4,0
1129,479,1125,34,75,19,71-80,11-20,0,4,0
1129,1104,1124,34,75,19,71-80,11-20,0,1,0
1129,1104,1125,34,75,19,71-80,11-20,0,1,0
1129,1124,1125,34,75,19,71-80,11-20,1,0,1
1129,1122,1123,44,70,7,<=70,6-10,1,0,1
1130,1009,1100,16,75,11,71-80,11-20,0,4,0
1130,1089,1100,16,75,11,71-80,11-20,0,1,0
1130,154,1104,34,75,19,71-80,11-20,0,1,0
1130,342,1104,34,75,19,71-80,11-20,0,1,0
1130,477,1104,34,75,19,71-80,11-20,0,1,0
1130,479,1104,34,75,19,71-80,11-20,0,4,0
1130,1104,1124,34,75,19,71-80,11-20,0,1,0
1130,1104,1125,34,75,19,71-80,11-20,0,1,0
1131,1009,1100,16,75,11,71-80,11-20,0,4,0
1131,1089,1100,16,75,11,71-80,11-20,0,1,0
1131,154,1104,34,75,19,71-80,11-20,0,1,0
1131,342,1104,34,75,19,71-80,11-20,0,1,0
1131,477,1104,34,75,19,71-80,11-20,0,1,0
1131,479,1104,34,75,19,71-80,11-20,0,4,0
1131,1104,1124,34,75,19,71-80,11-20,0,1,0
1131,1104,1125,34,75,19,71-80,11-20,0,1,0
1131,778,1167,42,75,23,71-80,21+,0,1,0
1131,1102,1167,42,75,23,71-80,21+,0,1,0
1131,69,121,46,70,9,<=70,6-10,0,1,0
1131,121,1174,46,85,9,81-90,6-10,0,1,0
1140,758,1145,43,76,13,71-80,11-20,0,4,0
1140,999,1145,43,76,13,71-80,11-20,0,1,0
1145,1079,1120,19,80,8,71-80,6-10,1,0,0
1150,758,1145,43,76,13,71-80,11-20,0,4,0
1150,999,1145,43,76,13,71-80,11-20,0,1,0
1153,836,1171,18,75,20,71-80,11-20,0,4,0
1153,1170,1171,18,75,20,71-80,11-20,0,1,0
1153,1111,1177,39,75,13,71-80,11-20,0,1,0
1153,763,1091,59,75,10,71-80,6-10,0,1,0
1156,1021,1121,9,71,19,71-80,11-20,0,1,0
1156,1030,1121,9,71,19,71-80,11-20,0,1,0
1156,1068,1121,9,71,19,71-80,11-20,0,1,0
1156,1069,1121,9,71,19,71-80,11-20,0,1,0
1156,1097,1121,9,71,19,71-80,11-20,0,1,0
1156,1121,1165,9,71,19,71-80,11-20,0,1,0
1156,1121,1166,9,71,19,71-80,11-20,0,1,0
1158,120,1131,4,71,116,71-80,21+,0,4,0
1158,509,957,22,70,29,<=70,21+,0,4,0
1158,587,957,22,70,29,<=70,21+,0,1,0
1158,957,1083,22,70,29,<=70,21+,0,4,0
1158,957,1128,22,70,29,<=70,21+,0,4,0
1158,958,979,28,83,13,81-90,11-20,1,0,1
1158,958,1110,28,83,13,81-90,11-20,0,1,0
1158,979,1110,28,83,13,81-90,11-20,0,1,0
1160,1021,1166,9,71,19,71-80,11-20,0,1,0
1160,1030,1166,9,71,19,71-80,11-20,0,1,0
1160,1068,1166,9,71,19,71-80,11-20,0,1,0
1160,1069,1166,9,71,19,71-80,11-20,0,1,0
1160,1097,1166,9,71,19,71-80,11-20,0,1,0
1160,1121,1166,9,71,19,71-80,11-20,0,1,0
1160,1165,1166,9,75,19,71-80,11-20,0,1,0
1160,500,505,13,81,10,81-90,6-10,1,4,0
1160,500,580,13,81,10,81-90,6-10,0,1,0
1160,500,583,13,81,10,81-90,6-10,0,4,1
1160,500,1096,13,81,10,81-90,6-10,0,1,1
1160,500,1176,13,81,10,81-90,6-10,0,1,0
1160,505,583,13,70,10,<=70,6-10,0,1,0
1160,505,1096,13,70,10,<=70,6-10,0,4,0
1160,580,583,13,70,10,<=70,6-10,1,4,0
1160,580,1096,13,70,10,<=70,6-10,0,1,0
1160,583,1096,13,81,10,81-90,6-10,0,4,1
1160,583,1176,13,81,10,81-90,6-10,0,4,0
1160,1096,1176,13,70,10,<=70,6-10,0,1,0
1160,771,1140,47,77,7,71-80,6-10,0,1,0
1160,1163,1164,52,80,17,71-80,11-20,1,0,1
1163,500,505,13,81,10,81-90,6-10,1,4,0
1163,500,580,13,81,10,81-90,6-10,0,1,0
1163,500,583,13,81,10,81-90,6-10,0,4,1
1163,500,1096,13,81,10,81-90,6-10,0,1,0
1163,500,1176,13,81,10,81-90,6-10,0,1,0
1163,505,583,13,70,10,<=70,6-10,0,1,0
1163,580,583,13,70,10,<=70,6-10,1,4,0
1163,583,1096,13,81,10,81-90,6-10,0,4,0
1163,583,1176,13,81,10,81-90,6-10,0,4,0
1163,836,1180,18,75,20,71-80,11-20,0,4,0
1163,836,1182,18,75,20,71-80,11-20,0,4,0
1163,1170,1180,18,75,20,71-80,11-20,0,1,0
1163,1170,1182,18,75,20,71-80,11-20,0,1,0
1163,1171,1180,18,75,20,71-80,11-20,0,1,0
1163,1171,1182,18,75,20,71-80,11-20,0,1,0
1163,1180,1182,18,75,20,71-80,11-20,1,0,1
1163,1180,1183,18,75,20,71-80,11-20,0,1,0
1163,1182,1183,18,75,20,71-80,11-20,0,1,0
1163,742,1181,20,72,15,71-80,11-20,0,4,0
1163,750,1181,20,72,15,71-80,11-20,0,4,0
1164,1144,1185,14,70,11,<=70,11-20,0,1,0
1166,1084,1186,17,83,17,81-90,11-20,0,1,0
1167,1111,1187,39,75,13,71-80,11-20,0,1,0
