68 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/NMRShielding.java | 1-EOF |  
69 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/PDBReader.java | 1-EOF |  
70 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Pair.java | 1-EOF |  
71 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/PhysicalProperty.java | 1-EOF |  
72 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Preferences.java | 1-EOF |  
73 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/ReaderFactory.java | 1-EOF |  
74 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Splash.java | 1-EOF |  
75 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/StatusBar.java | 1-EOF |  
76 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/TableMap.java | 1-EOF |  
77 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/TableSorter.java | 1-EOF |  
78 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/VProperty.java | 1-EOF |  
79 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Vibrate.java | 1-EOF |  
80 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/Vibration.java | 1-EOF |  
81 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/WhatsNewDialog.java | 1-EOF |  
82 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/WholeNumberField.java | 1-EOF |  
83 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/XYZFile.java | 1-EOF |  
84 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/XYZReader.java | 1-EOF |  
85 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/XYZSaver.java | 1-EOF |  
86 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/displayPanel.java | 1-EOF |  
87 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/pending/Animate.java | 1-EOF |  
88 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/pending/Bend.java | 1-EOF |  
89 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/pending/ChemModel.java | 1-EOF |  
90 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/pending/JmolLookAndFeel.java | 1-EOF |  
91 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/pending/Preferences.java | 1-EOF |  
92 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/pending/Trackball.java | 1-EOF |  
93 | 0 | N/A | 0 | a | 2 | Revision_2/Jmol/src/org/openscience/jmol/poshTableSorter.java | 1-EOF |  
