globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
612 | Revision_332/Jmol/src/org/openscience/jmol/HeapSorter.java | 133 | 152 | 68 | NULL | NULL | NULL | NULL | NULL |  | 
613 | Revision_332/Jmol/src/org/openscience/miniJmol/HeapSorter.java | 131 | 150 | 68 | NULL | NULL | NULL | NULL | NULL |  | 
614 | Revision_332/Jmol/src/org/openscience/jmol/HeapSorter.java | 154 | 170 | 69 | NULL | NULL | NULL | NULL | NULL |  | 
615 | Revision_332/Jmol/src/org/openscience/miniJmol/HeapSorter.java | 152 | 168 | 69 | NULL | NULL | NULL | NULL | NULL |  | 
163 | Revision_332/Jmol/src/org/openscience/jmol/Jmol.java | 1074 | 1078 | 70 | 156 | actionPerformed | public void actionPerformed(ActionEvent e) | 1046 | 1082 | org.openscience.jmol | Jmol
164 | Revision_332/Jmol/src/org/openscience/jmol/Jmol.java | 1131 | 1135 | 70 | 156 | actionPerformed | public void actionPerformed(ActionEvent e) | 1091 | 1139 | org.openscience.jmol | Jmol
355 | Revision_332/Jmol/src/org/openscience/jmol/JMolCDO.java | 37 | 41 | 71 | 73 | JMolCDO | public JMolCDO() | 37 | 41 | org.openscience.jmol | JMolCDO
354 | Revision_332/Jmol/src/org/openscience/miniJmol/JMolCDO.java | 37 | 41 | 71 | 73 | JMolCDO | public JMolCDO() | 37 | 41 | org.openscience.miniJmol | JMolCDO
501 | Revision_332/Jmol/src/org/openscience/jmol/JMolCDO.java | 49 | 69 | 72 | 813 | startObject | public void startObject(String type) | 49 | 69 | org.openscience.jmol | JMolCDO
505 | Revision_332/Jmol/src/org/openscience/jmol/JMolCDO.java | 71 | 90 | 72 | 811 | endObject | public void endObject(String type) | 71 | 90 | org.openscience.jmol | JMolCDO
165 | Revision_332/Jmol/src/org/openscience/jmol/JmolResourceHandler.java | 70 | 81 | 73 | 356 | getString | synchronized String getString(String string) | 70 | 81 | org.openscience.jmol | JmolResourceHandler
166 | Revision_332/Jmol/src/org/openscience/jmol/JmolResourceHandler.java | 83 | 94 | 73 | 323 | getObject | synchronized Object getObject(String string) | 83 | 94 | org.openscience.jmol | JmolResourceHandler
184 | Revision_332/Jmol/src/org/openscience/jmol/Measure.java | 386 | 390 | 74 | 156 | actionPerformed | public void actionPerformed(ActionEvent e) | 386 | 390 | org.openscience.jmol | Measure
187 | Revision_332/Jmol/src/org/openscience/jmol/Measure.java | 442 | 446 | 74 | 156 | actionPerformed | public void actionPerformed(ActionEvent e) | 442 | 446 | org.openscience.jmol | Measure
185 | Revision_332/Jmol/src/org/openscience/jmol/Measure.java | 428 | 432 | 74 | 156 | actionPerformed | public void actionPerformed(ActionEvent e) | 428 | 432 | org.openscience.jmol | Measure
188 | Revision_332/Jmol/src/org/openscience/jmol/Measure.java | 414 | 418 | 74 | 156 | actionPerformed | public void actionPerformed(ActionEvent e) | 414 | 418 | org.openscience.jmol | Measure
186 | Revision_332/Jmol/src/org/openscience/jmol/Measure.java | 400 | 404 | 74 | 156 | actionPerformed | public void actionPerformed(ActionEvent e) | 400 | 404 | org.openscience.jmol | Measure
540 | Revision_332/Jmol/src/org/openscience/jmol/PovrayDialog.java | 277 | 281 | 74 | 918 | setImageDimensions | public void setImageDimensions(int imageWidth, int imageHeight) | 277 | 281 | org.openscience.jmol | PovrayDialog
189 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 189 | 196 | 75 | 161 | addDistance | public void addDistance(Distance d) | 189 | 196 | org.openscience.jmol | MeasurementList
190 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 207 | 214 | 75 | 160 | addDihedral | public void addDihedral(Dihedral d) | 207 | 214 | org.openscience.jmol | MeasurementList
191 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 198 | 205 | 75 | 158 | addAngle | public void addAngle(Angle a) | 198 | 205 | org.openscience.jmol | MeasurementList
192 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 228 | 235 | 76 | 192 | clearDistanceList | public void clearDistanceList() | 228 | 235 | org.openscience.jmol | MeasurementList
194 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 237 | 244 | 76 | 190 | clearAngleList | public void clearAngleList() | 237 | 244 | org.openscience.jmol | MeasurementList
193 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 246 | 253 | 76 | 191 | clearDihedralList | public void clearDihedralList() | 246 | 253 | org.openscience.jmol | MeasurementList
195 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 259 | 266 | 77 | 216 | deleteMatchingDistance | public boolean deleteMatchingDistance(int i1, int i2) | 255 | 271 | org.openscience.jmol | MeasurementList
197 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 277 | 284 | 77 | 214 | deleteMatchingAngle | public boolean deleteMatchingAngle(int i1, int i2, int i3) | 273 | 289 | org.openscience.jmol | MeasurementList
196 | Revision_332/Jmol/src/org/openscience/jmol/MeasurementList.java | 295 | 302 | 77 | 215 | deleteMatchingDihedral | public boolean deleteMatchingDihedral(int i1, int i2, int i3, int i4) | 291 | 307 | org.openscience.jmol | MeasurementList
484 | Revision_332/Jmol/src/org/openscience/jmol/PDBReader.java | 90 | 101 | 78 | 431 | read | public ChemFile read() throws IOException, Exception | 71 | 114 | org.openscience.jmol | PDBReader
377 | Revision_332/Jmol/src/org/openscience/miniJmol/PDBReader.java | 95 | 106 | 78 | 435 | readFrame | public ChemFrame readFrame() throws IOException | 70 | 115 | org.openscience.miniJmol | PDBReader
