revision,gcid1,gcid2,classId,sameFile,same_folder,file_distance,distance_bucket,dep_label,depth,similarity,filepath1,filepath2,folder1,folder2
645,1093,1243,74,0,1,1,1,0,1,75,,AtomLabelShape.java,,
645,1093,1244,74,0,1,1,1,0,1,75,,AtomShape.java,,
645,1116,1243,74,0,1,1,1,0,1,75,,AtomLabelShape.java,,
645,1116,1244,74,0,1,1,1,0,1,75,,AtomShape.java,,
645,1193,1243,74,0,1,1,1,0,1,75,,AtomLabelShape.java,,
645,1193,1244,74,0,1,1,1,0,1,75,,AtomShape.java,,
645,1243,1244,74,0,1,1,1,1,1,88,AtomLabelShape.java,AtomShape.java,,
645,275,1037,84,0,1,1,1,0,1,80,,Atom.java,,
645,620,1037,84,0,1,1,1,0,1,75,,Atom.java,,
645,1037,1039,84,0,1,1,1,0,1,75,Atom.java,,,
645,1003,1004,148,0,1,1,1,1,1,77,WireframeBondRenderer.java,QuickdrawBondRenderer.java,,
645,1003,1005,148,0,1,1,1,1,1,77,WireframeBondRenderer.java,ShadingBondRenderer.java,,
645,1003,1029,148,0,1,1,1,0,1,77,WireframeBondRenderer.java,,,
645,1003,1030,148,0,1,1,1,0,1,77,WireframeBondRenderer.java,,,
645,1003,1064,148,0,1,1,1,1,1,77,WireframeBondRenderer.java,LineBondRenderer.java,,
645,1004,1005,148,0,1,1,1,1,1,77,QuickdrawBondRenderer.java,ShadingBondRenderer.java,,
645,1004,1029,148,0,1,1,1,0,1,77,QuickdrawBondRenderer.java,,,
645,1004,1030,148,0,1,1,1,0,1,77,QuickdrawBondRenderer.java,,,
645,1004,1064,148,0,1,1,1,1,1,77,QuickdrawBondRenderer.java,LineBondRenderer.java,,
645,1005,1029,148,0,1,1,1,0,1,77,ShadingBondRenderer.java,,,
645,1005,1030,148,0,1,1,1,0,1,77,ShadingBondRenderer.java,,,
645,1005,1064,148,0,1,1,1,1,1,77,ShadingBondRenderer.java,LineBondRenderer.java,,
645,1029,1064,148,0,1,1,1,0,1,100,,LineBondRenderer.java,,
645,1030,1064,148,0,1,1,1,0,1,100,,LineBondRenderer.java,,
645,986,987,163,1,1,0,0 (same dir),1,0,75,MeasureRenderer.java,MeasureRenderer.java,,
645,1065,1066,170,0,1,1,1,1,1,70,QuickdrawAtomRenderer.java,ShadingAtomRenderer.java,,
645,1065,1067,170,0,1,1,1,1,1,70,QuickdrawAtomRenderer.java,WireframeAtomRenderer.java,,
645,1066,1067,170,0,1,1,1,1,1,70,ShadingAtomRenderer.java,WireframeAtomRenderer.java,,
647,436,766,55,0,1,2,2,0,2,71,,DisplayPanel.java,,
647,710,766,55,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,766,876,55,0,1,2,2,0,2,75,DisplayPanel.java,,,
647,766,877,55,0,1,2,2,0,2,75,DisplayPanel.java,,,
647,168,236,56,0,1,1,1,0,1,75,,Jmol.java,,
647,169,236,56,0,1,1,1,0,1,75,,Jmol.java,,
647,170,236,56,0,1,1,1,0,1,75,,Jmol.java,,
647,236,1242,56,0,1,1,1,0,1,75,Jmol.java,,,
647,730,783,60,0,1,2,2,0,2,71,,DisplayPanel.java,,
647,730,784,60,0,1,2,2,0,2,71,,DisplayPanel.java,,
647,783,784,60,1,1,0,0 (same dir),1,0,70,DisplayPanel.java,DisplayPanel.java,,
647,783,1035,60,0,1,1,1,0,1,70,DisplayPanel.java,,,
647,783,1136,60,0,1,1,1,0,1,70,DisplayPanel.java,,,
647,784,1035,60,0,1,1,1,0,1,70,DisplayPanel.java,,,
647,784,1136,60,0,1,1,1,0,1,70,DisplayPanel.java,,,
647,1075,1076,61,1,1,1,1,0,1,70,,DisplayPanel.java,,
647,775,1079,62,1,1,0,0 (same dir),1,0,75,DisplayPanel.java,DisplayPanel.java,,
647,775,1241,62,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,1079,1241,62,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,831,832,63,1,1,2,2,0,2,72,DisplayPanel.java,,,
647,327,789,74,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,328,789,74,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,329,789,74,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,330,789,74,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,332,789,74,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,335,789,74,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,718,789,74,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,787,789,74,1,1,0,0 (same dir),0,0,75,,DisplayPanel.java,,
647,789,1092,74,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,789,1093,74,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,789,1116,74,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,789,1193,74,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,789,1243,74,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,789,1244,74,0,1,1,1,0,1,75,DisplayPanel.java,,,
647,331,788,75,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,333,788,75,0,1,1,1,0,1,75,,DisplayPanel.java,,
647,488,740,76,0,1,1,1,0,1,75,ChemFrame.java,,,
647,488,1038,76,1,1,0,0 (same dir),1,0,75,ChemFrame.java,ChemFrame.java,,
647,488,1181,76,0,1,1,1,0,1,75,ChemFrame.java,,,
647,740,1038,76,0,1,1,1,0,1,80,,ChemFrame.java,,
647,1038,1181,76,0,1,1,1,0,1,75,ChemFrame.java,,,
647,276,1230,83,0,1,1,1,0,1,75,Jmol.java,,,
647,276,1232,83,0,1,1,1,0,1,75,Jmol.java,,,
647,190,1001,114,0,1,1,1,0,1,75,ChemFrame.java,,,
648,488,740,76,0,1,1,1,0,1,75,ChemFrame.java,,,
648,488,1038,76,1,1,0,0 (same dir),0,0,75,ChemFrame.java,,,
648,488,1181,76,0,1,1,1,0,1,75,ChemFrame.java,,,
649,730,783,60,0,1,2,2,0,2,71,,DisplayPanel.java,,
649,783,784,60,1,1,0,0 (same dir),0,0,70,DisplayPanel.java,,,
649,783,1035,60,0,1,1,1,0,1,70,DisplayPanel.java,,,
