pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
18116,Type3,Block,138,786,787,120,120,122,122,2,2,1,0,0,100,dnsServer.java,jnamed.java,1,bwelling,bwelling,1.0000,-1.0000,2,-1,addAdditional2,"addAdditional2(Message response, int section)",addAdditional2,"addAdditional2(Message response, int section)"
18117,Type3,Block,138,786,893,120,194,122,311,2,117,0,0,0,100,dnsServer.java,TypeClass.java,1,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",equals,equals(Object arg)
18118,Type3,Block,138,786,894,120,194,122,311,2,117,0,0,0,100,dnsServer.java,TypeClass.java,3,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",equals,equals(Object arg)
18119,Type3,Block,138,786,1670,120,1447,122,Still Active,2,53,0,0,0,100,dnsServer.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",test_getTTL,public void test_getTTL() throws IOException
18120,Type3,Block,138,786,1671,120,1447,122,Still Active,2,53,0,0,0,100,dnsServer.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",test_getTTLLike,public void test_getTTLLike() throws IOException
18121,Type3,Block,138,787,893,120,194,122,311,2,117,0,0,0,100,jnamed.java,TypeClass.java,1,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",equals,equals(Object arg)
18122,Type3,Block,138,787,894,120,194,122,311,2,117,0,0,0,100,jnamed.java,TypeClass.java,3,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",equals,equals(Object arg)
18123,Type3,Block,138,787,1670,120,1447,122,Still Active,2,53,0,0,0,100,jnamed.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",test_getTTL,public void test_getTTL() throws IOException
18124,Type3,Block,138,787,1671,120,1447,122,Still Active,2,53,0,0,0,100,jnamed.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,addAdditional2,"addAdditional2(Message response, int section)",test_getTTLLike,public void test_getTTLLike() throws IOException
18125,Type3,Block,138,893,894,194,194,311,311,117,117,1,0,0,100,TypeClass.java,TypeClass.java,4,bwelling,bwelling,1.0000,1.0000,26,-1,equals,equals(Object arg),equals,equals(Object arg)
18126,Type3,Block,138,893,1670,194,1447,311,Still Active,117,53,0,0,0,100,TypeClass.java,TokenizerTest.java,5,bwelling,bwelling,0.0000,0.0000,-1,26,equals,equals(Object arg),test_getTTL,public void test_getTTL() throws IOException
18127,Type3,Block,138,893,1671,194,1447,311,Still Active,117,53,0,0,0,100,TypeClass.java,TokenizerTest.java,5,bwelling,bwelling,0.0000,0.0000,-1,26,equals,equals(Object arg),test_getTTLLike,public void test_getTTLLike() throws IOException
18128,Type3,Block,138,894,1670,194,1447,311,Still Active,117,53,0,0,0,100,TypeClass.java,TokenizerTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,26,equals,equals(Object arg),test_getTTL,public void test_getTTL() throws IOException
18129,Type3,Block,138,894,1671,194,1447,311,Still Active,117,53,0,0,0,100,TypeClass.java,TokenizerTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,26,equals,equals(Object arg),test_getTTLLike,public void test_getTTLLike() throws IOException
18130,Type3,Block,138,1670,1671,1447,1447,Still Active,Still Active,53,53,0,0,0,91,TokenizerTest.java,TokenizerTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_getTTL,public void test_getTTL() throws IOException,test_getTTLLike,public void test_getTTLLike() throws IOException
18131,Type3,Block,139,788,789,120,120,122,122,2,2,1,0,0,100,dnsServer.java,jnamed.java,1,bwelling,bwelling,1.0000,-1.0000,2,-1,generateReply,generateReply(Message query),generateReply,generateReply(Message query)
18132,Type3,Block,139,788,1672,120,1447,122,Still Active,2,53,0,0,0,100,dnsServer.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,generateReply,generateReply(Message query),test_getBase64,public void test_getBase64() throws IOException
18133,Type3,Block,139,788,1673,120,1447,122,Still Active,2,53,0,0,0,100,dnsServer.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,generateReply,generateReply(Message query),test_getHex,public void test_getHex() throws IOException
18134,Type3,Block,139,789,1672,120,1447,122,Still Active,2,53,0,0,0,100,jnamed.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,generateReply,generateReply(Message query),test_getBase64,public void test_getBase64() throws IOException
