globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
456 | Revision_700/jscript.c | 909 | 918 | 8 | 595 | parseBlock | static boolean parseBlock (tokenInfo *const token, tokenInfo *const parent) | 866 | 960
119 | Revision_700/eiffel.c | 421 | 426 | 8 | 346 | parseNumeric | static vString *parseNumeric (int c) | 404 | 433
224 | Revision_700/options.c | 352 | 357 | 8 | 517 | verbose | extern void verbose (const char *const format, ...) | 349 | 358
116 | Revision_700/fortran.c | 813 | 818 | 8 | 347 | parseNumeric | static vString *parseNumeric (int c) | 796 | 825
94 | Revision_700/c.c | 2491 | 2498 | 8 | 331 | parseGeneralToken | static void parseGeneralToken (statementInfo *const st, const int c) | 2486 | 2525
493 | Revision_700/sql.c | 893 | 902 | 8 | 597 | parseSubProgram | static void parseSubProgram (tokenInfo *const token) | 782 | 918
129 | Revision_700/options.c | 1221 | 1225 | 8 | 235 | installHeaderListDefaults | static void installHeaderListDefaults (void) | 1217 | 1226
544 | Revision_700/vhdl.c | 457 | 461 | 8 | 874 | readToken | static void readToken (tokenInfo * const token) | 404 | 479
300 | Revision_700/sql.c | 569 | 573 | 8 | 818 | readToken | static void readToken (tokenInfo *const token) | 513 | 660
126 | Revision_700/strlist.c | 150 | 154 | 8 | 474 | stringListDelete | extern void stringListDelete (stringList *const current) | 145 | 159
250 | Revision_700/eiffel.c | 648 | 652 | 8 | 415 | readToken | static void readToken (tokenInfo *const token) | 602 | 736
457 | Revision_700/jscript.c | 920 | 925 | 8 | 595 | parseBlock | static boolean parseBlock (tokenInfo *const token, tokenInfo *const parent) | 866 | 960
480 | Revision_700/jscript.c | 891 | 907 | 8 | 595 | parseBlock | static boolean parseBlock (tokenInfo *const token, tokenInfo *const parent) | 866 | 960
119 | Revision_700/eiffel.c | 413 | 419 | 8 | 346 | parseNumeric | static vString *parseNumeric (int c) | 404 | 433
50 | Revision_700/fortran.c | 805 | 811 | 8 | 347 | parseNumeric | static vString *parseNumeric (int c) | 796 | 825
698 | Revision_700/sql.c | 905 | 915 | 8 | 597 | parseSubProgram | static void parseSubProgram (tokenInfo *const token) | 782 | 918
249 | Revision_700/eiffel.c | 661 | 665 | 8 | 415 | readToken | static void readToken (tokenInfo *const token) | 602 | 736
128 | Revision_700/fortran.c | 990 | 994 | 8 | 600 | readToken | static void readToken (tokenInfo *const token) | 921 | 1037
