cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",88,89,5,0.6250,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]","[136, 302, 315, 324, 498, 731]"
"Type3","Block",88,90,5,0.7143,0,"SIMILARITY_PRESERVING","[302, 315, 324, 496, 731]","[302, 315, 324, 496, 498, 731, 984]","[302, 315, 324, 496, 731]"
"Type3","Block",88,803,5,0.7143,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]","[302, 315, 324, 498, 731]"
"Type3","Block",89,90,4,0.5714,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[136, 302, 315, 324, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",89,690,1,0.1667,0,"SIMILARITY_PRESERVING","[136]","[136, 302, 315, 324, 498, 731]","[136]"
"Type3","Block",89,803,5,0.8333,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[136, 302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",90,803,4,0.6667,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 496, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",91,92,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]"
"Type3","Block",91,93,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",91,94,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",91,95,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",92,93,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",92,94,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",92,95,5,0.8333,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 496, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",93,94,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",93,95,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",94,95,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]","[302, 315, 324, 498, 990]"
"Type3","Block",696,698,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",696,748,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",696,749,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",696,750,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
