n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
25,1,24,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,630,0.133,330
25,1,24,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,630,0.753,330
25,1,24,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,630,0.573,330
5,2,3,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,634,0.263,355
5,2,3,0.6123724356957946,1.0,1.0,0.75,0.6666666666666666,0.7071067811865476,LightGBM,634,0.133,355
5,2,3,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,634,0.165,355
5,2,3,0.6123724356957946,1.0,1.0,0.75,0.6666666666666666,0.7071067811865476,CatBoost,634,0.361,355
8,1,7,0.6546536707079772,0.8571428571428572,0.5,0.9285714285714286,0.6666666666666666,0.9258200997725514,RandomForest,635,0.263,360
8,1,7,-0.14285714285714285,0.8571428571428572,0.5,0.42857142857142855,0.0,0.0,LightGBM,635,0.133,360
8,1,7,0.6546536707079772,0.8571428571428572,0.5,0.9285714285714286,0.6666666666666666,0.9258200997725514,XGBoost,635,0.165,360
8,1,7,-0.14285714285714285,0.8571428571428572,0.5,0.42857142857142855,0.0,0.0,CatBoost,635,0.361,360
11,1,10,0.6708203932499369,1.0,1.0,0.95,0.6666666666666666,0.9486832980505138,RandomForest,636,0.263,368
11,1,10,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,636,0.296,368
11,1,10,0.5163977794943222,1.0,1.0,0.9,0.5,0.8944271909999159,XGBoost,636,0.165,368
11,1,10,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,636,0.361,368
13,1,12,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,637,0.312,379
13,1,12,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,637,0.133,379
13,1,12,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,637,0.165,379
13,1,12,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,637,0.361,379
35,4,31,0.7897188828807974,0.9758064516129032,0.8041666666666667,0.967741935483871,0.8,0.9672041516493516,RandomForest,644,0.312,392
35,4,31,0.7897188828807974,0.9838709677419355,0.8875,0.967741935483871,0.8,0.9672041516493516,LightGBM,644,0.133,392
35,4,31,0.7184212081070996,0.9758064516129032,0.8541666666666666,0.9516129032258065,0.7272727272727273,0.9503819266229829,XGBoost,644,0.149,392
35,4,31,0.7897188828807974,0.967741935483871,0.6791666666666667,0.967741935483871,0.8,0.9672041516493516,CatBoost,644,0.361,392
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,656,0.312,427
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,656,0.133,427
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,656,0.165,427
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,656,0.361,427
9,2,7,0.5976143046671968,1.0,1.0,0.8571428571428572,0.6666666666666666,0.8451542547285166,RandomForest,657,0.312,428
9,2,7,0.7559289460184544,1.0,1.0,0.9285714285714286,0.8,0.9258200997725514,LightGBM,657,0.133,428
9,2,7,0.3779644730092272,1.0,1.0,0.7142857142857143,0.5,0.6546536707079771,XGBoost,657,0.165,428
9,2,7,0.7559289460184544,1.0,1.0,0.9285714285714286,0.8,0.9258200997725514,CatBoost,657,0.361,428
36,3,33,0.6741998624632421,0.9191919191919191,0.4111111111111111,0.9545454545454546,0.6666666666666666,0.9534625892455924,RandomForest,658,0.312,437
36,3,33,0.4601415057116587,0.9292929292929293,0.6095238095238096,0.7878787878787878,0.5,0.7784989441615229,LightGBM,658,0.133,437
36,3,33,0.6136964857512032,0.9292929292929293,0.4444444444444445,0.9393939393939394,0.6,0.937436866561092,XGBoost,658,0.165,437
36,3,33,0.4601415057116587,0.9393939393939393,0.6333333333333333,0.7878787878787878,0.5,0.7784989441615229,CatBoost,658,0.361,437
35,2,33,0.6853444168423419,1.0,1.0,0.9696969696969697,0.6666666666666666,0.9692233691951198,RandomForest,659,0.312,473
35,2,33,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,659,0.133,473
35,2,33,0.6030226891555273,1.0,1.0,0.9545454545454546,0.5714285714285714,0.9534625892455924,XGBoost,659,0.198,473
35,2,33,0.8040302522073697,1.0,1.0,0.9848484848484849,0.8,0.9847319278346619,CatBoost,659,0.361,473
15,3,12,0.7844645405527361,1.0,1.0,0.8333333333333333,0.8,0.816496580927726,RandomForest,663,0.312,508
15,3,12,0.7844645405527361,1.0,1.0,0.8333333333333333,0.8,0.816496580927726,LightGBM,663,0.263,508
15,3,12,0.7844645405527361,0.8055555555555555,0.7666666666666666,0.8333333333333333,0.8,0.816496580927726,XGBoost,663,0.263,508
15,3,12,0.7844645405527361,0.9166666666666666,0.8333333333333333,0.8333333333333333,0.8,0.816496580927726,CatBoost,663,0.361,508
24,2,22,0.6915640748081247,0.9772727272727272,0.8333333333333333,0.75,0.6666666666666666,0.7071067811865476,RandomForest,664,0.329,523
24,2,22,0.6915640748081247,1.0,1.0,0.75,0.6666666666666666,0.7071067811865476,LightGBM,664,0.263,523
24,2,22,0.6915640748081247,0.9772727272727273,0.8333333333333333,0.75,0.6666666666666666,0.7071067811865476,XGBoost,664,0.688,523
24,2,22,0.6915640748081247,0.9545454545454545,0.75,0.75,0.6666666666666666,0.7071067811865476,CatBoost,664,0.329,523
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,666,0.312,547
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,666,0.263,547
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,666,0.688,547
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,666,0.72,547
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,668,0.312,556
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,668,0.263,556
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,668,0.688,556
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,668,0.72,556
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,669,0.312,557
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,669,0.263,557
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,669,0.688,557
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,669,0.72,557
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,670,0.312,558
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,670,0.263,558
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,670,0.688,558
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,670,0.72,558
3,2,1,0.0,1.0,1.0,0.5,0.8,0.0,RandomForest,672,0.312,560
3,2,1,0.0,1.0,1.0,0.5,0.8,0.0,LightGBM,672,0.263,560
3,2,1,0.0,0.5,0.8333333333333333,0.5,0.8,0.0,XGBoost,672,0.688,560
3,2,1,0.0,1.0,1.0,0.5,0.8,0.0,CatBoost,672,0.72,560
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,675,0.443,563
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,675,0.263,563
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,675,0.688,563
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,675,0.72,563
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,680,0.443,565
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,680,0.263,565
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,680,0.688,565
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,680,0.72,565
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,697,0.312,566
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,697,0.1,566
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,697,0.688,566
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,697,0.72,566
6,4,2,0.0,1.0,1.0,0.5,0.8,0.0,RandomForest,698,0.312,567
6,4,2,0.7071067811865476,1.0,1.0,0.875,0.8571428571428571,0.8660254037844386,LightGBM,698,0.1,567
6,4,2,0.5,1.0,1.0,0.75,0.6666666666666666,0.7071067811865476,XGBoost,698,0.688,567
6,4,2,0.7071067811865476,1.0,1.0,0.875,0.8571428571428571,0.8660254037844386,CatBoost,698,0.72,567
31,1,30,0.695221787153807,1.0,1.0,0.9833333333333334,0.6666666666666666,0.983192080250175,RandomForest,699,0.361,573
31,1,30,0.695221787153807,1.0,1.0,0.9833333333333334,0.6666666666666666,0.983192080250175,LightGBM,699,0.1,573
31,1,30,0.695221787153807,1.0,1.0,0.9833333333333334,0.6666666666666666,0.983192080250175,XGBoost,699,0.688,573
