Revision,gcid1,gcid2,classid,co_change_count,gcid1_independent_change_count,gcid2_independent_change_count,same_file,same_author,same_method,similarity,clone_type,nlines1,nlines2,depth,class_size,is_spcp,weighted_coupling_strength,last_co_change_age,last_solo_change_age,coupling_trend,wcs_recent,solo_events_after_last_cochange,noc1,noc2,file_age1,file_age2,churn1,churn2,distinct_authors1,distinct_authors2,major_author_prop1,major_author_prop2,minor_author_count1,minor_author_count2,wies,will_independently_evolve
731,1180,1182,78,0,1,1,0,1,0,75,Type3,5,5,1,24,0,0.0000,-1,0,0.0000,0.0000,2,2,1,412,412,11,22,1,1,1.0000,1.0000,0,0,1.0000,1
731,1182,1288,78,0,1,1,0,1,0,75,Type3,5,5,1,24,0,0.0000,-1,0,0.0000,0.0000,2,1,1,412,290,22,25,1,1,1.0000,1.0000,0,0,1.0000,1
731,1185,1186,9,10,0,0,1,1,0,75,Type3,5,5,0,19,0,1.0000,0,-1,0.0000,1.0000,0,10,10,167,167,338,338,2,2,0.9000,0.9000,0,0,0.0000,0
731,1185,1285,9,1,1,6,0,1,0,75,Type3,5,5,1,19,0,0.1716,0,7,0.3037,0.3885,0,10,19,167,95,338,980,2,2,0.9000,0.9474,0,0,0.8284,1
731,1186,1285,9,1,1,6,0,1,0,75,Type3,5,5,1,19,0,0.1716,0,7,0.3037,0.3885,0,10,19,167,95,338,980,2,2,0.9000,0.9474,0,0,0.8284,1
731,1203,1204,123,1,0,0,0,1,1,80,Type3,7,7,1,4,1,1.0000,0,-1,1.0000,1.0000,0,1,1,386,386,22,41,1,1,1.0000,1.0000,0,0,0.0000,0
731,1203,1205,123,1,0,0,0,1,0,80,Type3,7,7,1,4,1,1.0000,0,-1,1.0000,1.0000,0,1,1,386,386,22,41,1,1,1.0000,1.0000,0,0,0.0000,0
731,1203,1206,123,1,0,0,1,1,1,80,Type3,7,7,0,4,1,1.0000,0,-1,1.0000,1.0000,0,1,1,386,386,22,22,1,1,1.0000,1.0000,0,0,0.0000,0
731,1204,1205,123,1,0,0,1,1,0,80,Type3,7,7,0,4,1,1.0000,0,-1,1.0000,1.0000,0,1,1,386,386,41,41,1,1,1.0000,1.0000,0,0,0.0000,0
731,1204,1206,123,1,0,0,0,1,1,80,Type3,7,7,1,4,1,1.0000,0,-1,1.0000,1.0000,0,1,1,386,386,41,22,1,1,1.0000,1.0000,0,0,0.0000,0
731,1205,1206,123,1,0,0,0,1,0,80,Type3,7,7,1,4,1,1.0000,0,-1,1.0000,1.0000,0,1,1,386,386,41,22,1,1,1.0000,1.0000,0,0,0.0000,0
731,1207,1208,125,1,0,0,0,1,1,75,Type3,7,7,1,15,1,1.0000,0,-1,1.0000,1.0000,0,3,2,386,386,52,82,2,1,0.6667,1.0000,0,0,0.0000,0
731,1207,1209,125,1,0,0,0,1,0,75,Type3,7,7,1,15,1,1.0000,0,-1,1.0000,1.0000,0,3,2,386,386,52,82,2,1,0.6667,1.0000,0,0,0.0000,0
731,1207,1210,125,1,0,0,1,1,1,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,3,4,386,386,52,60,2,2,0.6667,0.5000,0,0,0.0000,0
731,1207,1211,125,1,0,0,0,1,0,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,3,2,386,386,52,82,2,1,0.6667,1.0000,0,0,0.0000,0
731,1207,1212,125,1,0,0,1,1,1,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,3,4,386,386,52,60,2,2,0.6667,0.5000,0,0,0.0000,0
731,1207,1213,125,1,0,0,0,1,1,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,3,3,386,386,52,109,2,2,0.6667,0.6667,0,0,0.0000,0
731,1207,1214,125,1,0,0,1,1,1,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,3,3,386,386,52,52,2,2,0.6667,0.6667,0,0,0.0000,0
731,1208,1209,125,1,0,0,1,1,0,75,Type3,7,7,0,15,1,1.0000,0,-1,1.0000,1.0000,0,2,2,386,386,82,82,1,1,1.0000,1.0000,0,0,0.0000,0
731,1208,1210,125,1,0,0,0,1,1,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,2,4,386,386,82,60,1,2,1.0000,0.5000,0,0,0.0000,0
731,1208,1211,125,1,0,0,1,1,0,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,2,2,386,386,82,82,1,1,1.0000,1.0000,0,0,0.0000,0
731,1208,1212,125,1,0,0,0,1,1,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,2,4,386,386,82,60,1,2,1.0000,0.5000,0,0,0.0000,0
731,1208,1213,125,1,0,0,1,1,1,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,2,3,386,386,82,109,1,2,1.0000,0.6667,0,0,0.0000,0
731,1208,1214,125,1,0,0,0,1,1,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,2,3,386,386,82,52,1,2,1.0000,0.6667,0,0,0.0000,0
731,1209,1210,125,1,0,0,0,1,0,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,2,4,386,386,82,60,1,2,1.0000,0.5000,0,0,0.0000,0
731,1209,1211,125,1,0,0,1,1,1,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,2,2,386,386,82,82,1,1,1.0000,1.0000,0,0,0.0000,0
731,1209,1212,125,1,0,0,0,1,0,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,2,4,386,386,82,60,1,2,1.0000,0.5000,0,0,0.0000,0
731,1209,1213,125,1,0,0,1,1,0,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,2,3,386,386,82,109,1,2,1.0000,0.6667,0,0,0.0000,0
731,1209,1214,125,1,0,0,0,1,0,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,2,3,386,386,82,52,1,2,1.0000,0.6667,0,0,0.0000,0
731,1210,1211,125,1,0,0,0,1,0,75,Type3,7,7,1,15,1,1.0000,0,-1,1.0000,1.0000,0,4,2,386,386,60,82,2,1,0.5000,1.0000,0,0,0.0000,0
731,1210,1212,125,1,0,0,1,1,1,75,Type3,7,7,0,15,1,1.0000,0,-1,1.0000,1.0000,0,4,4,386,386,60,60,2,2,0.5000,0.5000,0,0,0.0000,0
731,1210,1213,125,1,0,0,0,1,1,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,4,3,386,386,60,109,2,2,0.5000,0.6667,0,0,0.0000,0
731,1210,1214,125,1,0,0,1,1,1,75,Type3,7,7,0,15,1,1.0000,0,-1,1.0000,1.0000,0,4,3,386,386,60,52,2,2,0.5000,0.6667,0,0,0.0000,0
731,1211,1212,125,1,0,0,0,1,0,75,Type3,7,7,1,15,1,1.0000,0,-1,1.0000,1.0000,0,2,4,386,386,82,60,1,2,1.0000,0.5000,0,0,0.0000,0
731,1211,1213,125,1,0,0,1,1,0,75,Type3,7,7,0,15,0,1.0000,0,-1,1.0000,1.0000,0,2,3,386,386,82,109,1,2,1.0000,0.6667,0,0,0.0000,0
