Revision,gcid1,gcid2,classid,co_change_count,gcid1_independent_change_count,gcid2_independent_change_count,same_file,same_author,same_method,similarity,clone_type,nlines1,nlines2,depth,class_size,is_spcp,weighted_coupling_strength,last_co_change_age,last_solo_change_age,coupling_trend,wcs_recent,solo_events_after_last_cochange,noc1,noc2,file_age1,file_age2,churn1,churn2,distinct_authors1,distinct_authors2,major_author_prop1,major_author_prop2,minor_author_count1,minor_author_count2,wies,will_independently_evolve
477,42,43,10,3,1,0,0,1,1,100,Type1,26,26,1,6,1,0.7360,0,1,-0.3332,0.7360,0,4,4,191,191,1084,1775,1,1,1.0000,1.0000,0,0,0.2640,0
526,11,12,3,1,1,0,0,1,1,100,Type1,5,5,1,4,1,0.0766,83,0,0.0766,0.0000,1,7,1,574,574,749,134,3,1,0.7143,1.0000,0,0,0.9234,1
526,11,13,3,1,1,0,0,1,1,100,Type1,5,5,1,4,1,0.0766,83,0,0.0766,0.0000,1,7,1,574,552,749,96,3,1,0.7143,1.0000,0,0,0.9234,1
526,14,15,4,1,0,1,0,1,0,100,Type1,9,9,1,5,1,0.0766,83,0,0.0766,0.0000,1,1,7,552,552,96,749,1,3,1.0000,0.7143,0,0,0.9234,1
529,11,12,3,1,2,0,0,1,1,100,Type1,5,5,1,4,1,0.0381,86,0,0.0381,0.0000,2,7,1,574,574,749,134,3,1,0.7143,1.0000,0,0,0.9619,1
529,11,13,3,1,2,0,0,1,1,100,Type1,5,5,1,4,1,0.0381,86,0,0.0381,0.0000,2,7,1,574,552,749,96,3,1,0.7143,1.0000,0,0,0.9619,1
529,14,15,4,1,0,2,0,1,0,100,Type1,9,9,1,5,1,0.0381,86,0,0.0381,0.0000,2,1,7,552,552,96,749,1,3,1.0000,0.7143,0,0,0.9619,1
574,20,21,5,2,2,2,0,1,1,100,Type1,5,5,1,7,1,0.0759,99,0,-0.4154,0.0000,2,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.9241,1
574,22,23,29,3,0,2,0,1,0,100,Type1,12,12,1,7,1,0.1236,98,0,-0.8122,0.0000,1,3,6,329,329,1004,3533,1,1,1.0000,1.0000,0,0,0.8764,1
574,24,25,7,2,2,2,0,1,1,100,Type1,5,8,1,9,1,0.0759,99,0,-0.4154,0.0000,2,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.9241,1
574,34,35,21,2,1,2,0,1,1,100,Type1,7,7,1,3,1,0.0793,99,0,-0.5440,0.0000,1,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.9207,1
586,20,21,5,2,3,2,0,1,1,100,Type1,5,5,1,7,1,0.0350,111,0,-0.4154,0.0000,3,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.9650,1
586,24,25,7,2,3,2,0,1,1,100,Type1,5,8,1,9,1,0.0350,111,0,-0.4154,0.0000,3,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.9650,1
586,34,35,21,2,2,2,0,1,1,100,Type1,7,7,1,3,1,0.0357,111,0,-0.5440,0.0000,3,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.9643,1
586,38,39,22,3,2,0,0,1,0,100,Type1,6,6,1,6,0,0.0907,109,0,-0.7694,0.0000,1,11,6,355,355,1954,1858,1,1,1.0000,1.0000,0,0,0.9093,1
586,45,46,18,0,1,0,0,1,0,100,Type1,5,5,1,6,1,0.0000,-1,0,0.0000,0.0000,1,10,7,230,230,839,440,2,2,0.8000,0.7143,0,0,1.0000,1
630,34,35,21,2,2,3,0,1,1,100,Type1,7,7,1,3,1,0.0117,155,0,-0.5440,0.0000,4,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.9883,1
630,45,46,18,0,1,1,0,1,0,100,Type1,5,5,1,6,1,0.0000,-1,0,0.0000,0.0000,2,10,7,230,230,839,440,2,2,0.8000,0.7143,0,0,1.0000,1
634,20,21,5,2,4,2,0,1,1,100,Type1,5,5,1,7,1,0.0107,159,0,-0.4154,0.0000,4,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.9893,1
634,24,25,7,2,4,2,0,1,1,100,Type1,5,8,1,9,1,0.0107,159,0,-0.4154,0.0000,4,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.9893,1
637,34,35,21,2,2,4,0,1,1,100,Type1,7,7,1,3,1,0.0064,162,0,-0.5440,0.0000,5,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.9936,1
637,45,46,18,0,1,2,0,1,0,100,Type1,5,5,1,6,1,0.0000,-1,0,0.0000,0.0000,3,10,7,230,230,839,440,2,2,0.8000,0.7143,0,0,1.0000,1
644,20,21,5,2,4,3,0,1,1,100,Type1,5,5,1,7,1,0.0055,169,0,-0.4154,0.0000,5,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.9945,1
644,22,23,29,3,0,3,0,1,0,100,Type1,12,12,1,7,1,0.0156,168,0,-0.8122,0.0000,2,3,6,329,329,1004,3533,1,1,1.0000,1.0000,0,0,0.9844,1
644,24,25,7,2,4,3,0,1,1,100,Type1,5,8,1,9,1,0.0055,169,0,-0.4154,0.0000,5,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.9945,1
644,34,35,21,2,2,5,0,1,1,100,Type1,7,7,1,3,1,0.0041,169,0,-0.5440,0.0000,6,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.9959,1
644,38,39,22,3,2,1,0,1,0,100,Type1,6,6,1,6,0,0.0151,167,0,-0.7694,0.0000,2,11,6,355,355,1954,1858,1,1,1.0000,1.0000,0,0,0.9849,1
644,42,43,10,3,1,1,0,1,1,100,Type1,26,26,1,6,1,0.0176,167,0,-0.7360,0.0000,1,4,4,191,191,1084,1775,1,1,1.0000,1.0000,0,0,0.9824,1
644,43,49,10,0,1,0,0,1,1,100,Type1,26,5,1,6,0,0.0000,-1,0,0.0000,0.0000,4,4,4,191,157,1775,120,1,2,1.0000,0.5000,0,0,1.0000,1
644,45,46,18,0,1,3,0,1,0,100,Type1,5,5,1,6,1,0.0000,-1,0,0.0000,0.0000,4,10,7,230,230,839,440,2,2,0.8000,0.7143,0,0,1.0000,1
655,20,50,5,0,0,1,0,1,0,100,Type1,5,5,1,7,0,0.0000,-1,0,0.0000,0.0000,7,6,4,355,162,1549,853,1,1,1.0000,1.0000,0,0,1.0000,1
655,21,50,5,0,0,1,0,1,0,100,Type1,5,5,1,7,0,0.0000,-1,0,0.0000,0.0000,6,6,4,355,162,3603,853,1,1,1.0000,1.0000,0,0,1.0000,1
655,26,51,8,0,0,1,0,1,1,100,Type1,17,17,1,4,0,0.0000,-1,0,0.0000,0.0000,7,10,2,355,162,1864,758,2,1,0.9000,1.0000,0,0,1.0000,1
655,29,56,36,0,0,1,0,1,1,100,Type1,12,12,1,2,0,0.0000,-1,0,0.0000,0.0000,8,7,2,355,162,3734,758,2,1,0.8571,1.0000,0,0,1.0000,1
655,31,54,11,0,0,1,0,1,1,100,Type1,12,10,1,8,0,0.0000,-1,0,0.0000,0.0000,2,1,2,355,3,1691,758,1,1,1.0000,1.0000,0,0,1.0000,1
655,42,52,10,0,0,1,0,1,1,100,Type1,26,5,1,6,0,0.0000,-1,0,0.0000,0.0000,5,4,5,191,162,1084,783,1,1,1.0000,1.0000,0,0,1.0000,1
655,43,52,10,0,0,1,0,1,1,100,Type1,26,5,1,6,0,0.0000,-1,0,0.0000,0.0000,5,4,5,191,162,1775,783,1,1,1.0000,1.0000,0,0,1.0000,1
655,45,55,18,0,0,1,0,1,0,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,2,10,4,230,162,839,773,2,1,0.8000,1.0000,0,0,1.0000,1
655,46,55,18,0,0,1,0,1,0,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,4,7,4,230,162,440,773,2,1,0.7143,1.0000,0,0,1.0000,1
655,49,52,10,0,0,1,0,1,1,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,1,4,5,157,162,120,783,2,1,0.5000,1.0000,0,0,1.0000,1
655,53,54,11,0,0,1,0,1,1,100,Type1,10,10,1,8,0,0.0000,-1,0,0.0000,0.0000,1,0,2,3,3,0,758,0,1,0.0000,1.0000,0,0,1.0000,1
655,57,58,37,0,0,1,0,1,1,100,Type1,5,5,1,2,1,0.0000,-1,0,0.0000,0.0000,1,4,4,162,162,147,773,2,1,0.5000,1.0000,0,0,1.0000,1
655,59,60,38,0,0,1,0,1,1,100,Type1,15,15,1,2,0,0.0000,-1,0,0.0000,0.0000,1,0,2,162,162,0,758,0,1,0.0000,1.0000,0,0,1.0000,1
656,20,50,5,0,0,2,0,1,0,100,Type1,5,5,1,7,0,0.0000,-1,0,0.0000,0.0000,8,6,4,355,162,1549,853,1,1,1.0000,1.0000,0,0,1.0000,1
656,21,50,5,0,0,2,0,1,0,100,Type1,5,5,1,7,0,0.0000,-1,0,0.0000,0.0000,7,6,4,355,162,3603,853,1,1,1.0000,1.0000,0,0,1.0000,1
656,42,52,10,0,0,2,0,1,1,100,Type1,26,5,1,6,0,0.0000,-1,0,0.0000,0.0000,6,4,5,191,162,1084,783,1,1,1.0000,1.0000,0,0,1.0000,1
656,43,52,10,0,0,2,0,1,1,100,Type1,26,5,1,6,0,0.0000,-1,0,0.0000,0.0000,6,4,5,191,162,1775,783,1,1,1.0000,1.0000,0,0,1.0000,1
656,45,55,18,0,0,2,0,1,0,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,3,10,4,230,162,839,773,2,1,0.8000,1.0000,0,0,1.0000,1
656,46,55,18,0,0,2,0,1,0,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,5,7,4,230,162,440,773,2,1,0.7143,1.0000,0,0,1.0000,1
656,49,52,10,0,0,2,0,1,1,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,2,4,5,157,162,120,783,2,1,0.5000,1.0000,0,0,1.0000,1
656,57,58,37,0,0,2,0,1,1,100,Type1,5,5,1,2,1,0.0000,-1,0,0.0000,0.0000,2,4,4,162,162,147,773,2,1,0.5000,1.0000,0,0,1.0000,1
657,20,50,5,0,0,3,0,1,0,100,Type1,5,5,1,7,0,0.0000,-1,0,0.0000,0.0000,10,6,4,355,162,1549,853,1,1,1.0000,1.0000,0,0,1.0000,1
657,21,50,5,0,0,3,0,1,0,100,Type1,5,5,1,7,0,0.0000,-1,0,0.0000,0.0000,9,6,4,355,162,3603,853,1,1,1.0000,1.0000,0,0,1.0000,1
657,26,51,8,0,0,2,0,1,1,100,Type1,17,17,1,4,0,0.0000,-1,0,0.0000,0.0000,8,10,2,355,162,1864,758,2,1,0.9000,1.0000,0,0,1.0000,1
657,29,56,36,0,0,2,0,1,1,100,Type1,12,12,1,2,0,0.0000,-1,0,0.0000,0.0000,9,7,2,355,162,3734,758,2,1,0.8571,1.0000,0,0,1.0000,1
657,31,54,11,0,0,2,0,1,1,100,Type1,12,10,1,8,0,0.0000,-1,0,0.0000,0.0000,3,1,2,355,3,1691,758,1,1,1.0000,1.0000,0,0,1.0000,1
657,42,52,10,0,0,3,0,1,1,100,Type1,26,5,1,6,0,0.0000,-1,0,0.0000,0.0000,7,4,5,191,162,1084,783,1,1,1.0000,1.0000,0,0,1.0000,1
657,43,52,10,0,0,3,0,1,1,100,Type1,26,5,1,6,0,0.0000,-1,0,0.0000,0.0000,7,4,5,191,162,1775,783,1,1,1.0000,1.0000,0,0,1.0000,1
657,45,55,18,0,0,3,0,1,0,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,4,10,4,230,162,839,773,2,1,0.8000,1.0000,0,0,1.0000,1
657,46,55,18,0,0,3,0,1,0,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,6,7,4,230,162,440,773,2,1,0.7143,1.0000,0,0,1.0000,1
657,49,52,10,0,0,3,0,1,1,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,3,4,5,157,162,120,783,2,1,0.5000,1.0000,0,0,1.0000,1
657,53,54,11,0,0,2,0,1,1,100,Type1,10,10,1,8,0,0.0000,-1,0,0.0000,0.0000,2,0,2,3,3,0,758,0,1,0.0000,1.0000,0,0,1.0000,1
657,57,58,37,0,0,3,0,1,1,100,Type1,5,5,1,2,1,0.0000,-1,0,0.0000,0.0000,3,4,4,162,162,147,773,2,1,0.5000,1.0000,0,0,1.0000,1
