revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
187,122,options.c,M,6,2,175,0.9409,0.0108,185,darren,0,0.0000,0.0000,0.0000,0,0
187,123,options.c,M,12,3,174,0.9355,0.0161,185,darren,0,0.0000,0.0000,0.0000,0,0
187,181,options.c,M,5,2,25,0.9259,0.0741,26,darren,1,0.0000,0.0000,0.0000,0,1
188,72,fortran.c,M,17,1,177,0.9465,0.0053,186,darren,1,0.0000,0.0000,0.0000,0,1
190,87,readtags.c,M,5,6,174,0.9206,0.0317,188,darren,5,0.2723,1.0000,0.0000,1,4
190,88,readtags.c,M,5,6,174,0.9206,0.0317,188,darren,5,0.2723,1.0000,0.0000,1,4
190,134,readtags.c,M,6,5,175,0.9259,0.0265,188,darren,1,0.7128,0.7128,0.7128,1,0
190,135,readtags.c,M,6,5,175,0.9259,0.0265,188,darren,1,0.7128,0.7128,0.7128,1,0
190,136,readtags.c,M,8,5,175,0.9259,0.0265,188,darren,1,0.6743,0.6743,0.6743,1,0
190,139,readtags.c,M,8,5,175,0.9259,0.0265,188,darren,1,0.6743,0.6743,0.6743,1,0
190,150,readtags.c,M,6,4,148,0.9737,0.0263,151,darren,1,0.9930,0.9930,0.9930,1,0
190,151,readtags.c,M,6,5,147,0.9671,0.0329,151,darren,1,0.9930,0.9930,0.9930,1,0
190,152,readtags.c,M,6,5,147,0.9671,0.0329,151,darren,2,1.0000,1.0000,1.0000,2,0
190,153,readtags.c,M,6,5,147,0.9671,0.0329,151,darren,2,1.0000,1.0000,1.0000,2,0
190,187,readtags.c,M,6,1,0,0.0000,1.0000,0,darren,2,1.0000,1.0000,1.0000,2,0
197,174,asm.c,M,8,1,48,0.9412,0.0196,50,darren,17,0.0000,0.0000,0.0000,0,17
197,179,asm.c,M,11,1,36,0.9730,0.0270,36,darren,2,0.0000,0.0000,0.0000,0,2
200,170,asm.c,M,8,2,26,0.3171,0.0244,81,darren,1,0.0000,0.0000,0.0000,0,1
200,179,asm.c,M,11,2,37,0.9250,0.0500,39,darren,3,0.3333,1.0000,0.0000,1,2
200,188,asm.c,M,8,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
200,191,asm.c,M,11,1,0,0.0000,1.0000,0,darren,3,0.3333,1.0000,0.0000,1,2
201,148,vim.c,M,18,2,189,0.9450,0.0100,199,darren,0,0.0000,0.0000,0.0000,0,0
201,193,vim.c,M,5,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
209,129,perl.c,M,5,1,198,0.9519,0.0048,207,darren,1,0.0000,0.0000,0.0000,0,1
212,37,tcl.c,M,13,1,201,0.9526,0.0047,210,darren,4,0.0000,0.0000,0.0000,0,4
213,195,tcl.c,M,9,1,0,0.0000,1.0000,0,darren,5,0.0000,0.0000,0.0000,0,5
218,77,get.c,M,10,2,206,0.9493,0.0092,216,darren,1,1.0000,1.0000,1.0000,1,0
218,79,get.c,M,10,2,206,0.9493,0.0092,216,darren,1,1.0000,1.0000,1.0000,1,0
218,80,get.c,M,6,2,206,0.9493,0.0092,216,darren,1,0.0000,0.0000,0.0000,0,1
221,13,pascal.c,M,8,1,210,0.9545,0.0045,219,darren,18,0.0000,0.0000,0.0000,0,18
226,27,slang.c,M,8,1,215,0.9556,0.0044,224,darren,18,0.0000,0.0000,0.0000,0,18
227,213,cobol.c,M,8,1,0,0.0000,1.0000,0,darren,19,0.0000,0.0000,0.0000,0,19
231,199,sql.c,M,5,1,15,0.8824,0.0588,16,darren,0,0.0000,0.0000,0.0000,0,0
247,223,options.c,M,6,1,0,0.0000,1.0000,0,darren,0,0.0000,0.0000,0.0000,0,0
258,147,vim.c,M,17,1,247,0.9611,0.0039,256,darren,0,0.0000,0.0000,0.0000,0,0
258,148,vim.c,M,18,3,245,0.9533,0.0117,256,darren,0,0.0000,0.0000,0.0000,0,0
259,147,vim.c,M,17,2,247,0.9574,0.0078,257,darren,0,0.0000,0.0000,0.0000,0,0
259,148,vim.c,M,18,4,245,0.9496,0.0155,257,darren,0,0.0000,0.0000,0.0000,0,0
260,53,fortran.c,M,7,1,249,0.9614,0.0039,258,darren,1,1.0000,1.0000,1.0000,1,0
