Revision,gcid,classid,n_prior_changes,n_prior_co_changes,n_prior_independent,co_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_independent,recent_co_ratio_last5,solo_events_since_last_co,nlines,similarity,file_age,change_proneness,stability_index,change_magnitude,avg_prior_change_magnitude,class_size,alive_peer_count,class_co_change_density,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,ir_decay_h10,cs_decay_h10,ir_decay_h20,cs_decay_h20,ir_decay_h50,cs_decay_h50,coupling_trend,churn,distinct_authors,major_author_prop,label
703,311,30,1,1,0,1.0,228,228,-1,1.0,0,5,71,242,0.0041,0.6742,0.125,1.0,96,78,0.8974,0.2564,0.0128,0.4487,1.0,0.0,0.74,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1503,1,1.0,0
703,329,30,1,1,0,1.0,228,228,-1,1.0,0,10,70,242,0.0041,0.6742,0.025,0.85,96,78,0.8974,0.2564,0.0128,0.4487,1.0,0.0,0.74,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1503,1,1.0,0
711,18,4,1,1,0,1.0,268,268,-1,1.0,0,11,70,709,0.0014,0.865,1.0,0.7778,42,34,0.9706,0.0588,0.0,0.8824,1.0,0.0,0.94,0.0,1.0,0.0,1.0,0.0,1.0,0.0,165,1,1.0,1
711,33,6,1,1,0,1.0,268,268,-1,1.0,0,11,70,709,0.0014,0.8675,1.4118,0.9412,20,12,1.0,0.25,0.25,0.75,1.0,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,165,1,1.0,1
714,14,4,4,2,2,0.5,38,185,38,0.5,2,8,83,712,0.0056,1.1239,1.0,0.9445,42,34,0.9706,0.0294,0.0,0.2279,0.5,0.0,0.97,1.0,0.0,0.9967,0.0033,0.9212,0.0788,-1.0,319,1,1.0,1
714,370,57,3,0,1,0.0,39,-1,39,0.0,1,7,80,188,0.016,0.8935,0.6667,0.6667,71,58,0.8103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,168,1,1.0,1
717,11,4,1,1,0,1.0,274,274,-1,1.0,0,8,70,715,0.0014,0.865,0.0909,0.8182,42,34,0.9706,0.0,0.0,0.8824,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,76,1,1.0,1
720,180,4,4,2,2,0.5,48,191,48,0.5,1,5,75,559,0.0072,0.846,0.4,0.65,42,34,0.9706,0.0294,0.0,0.2279,0.5,0.0,0.97,1.0,0.0,0.9927,0.0073,0.8479,0.1521,0.0,507,1,1.0,1
720,368,14,4,2,2,0.5,48,48,50,0.5,0,5,75,194,0.0206,0.6529,0.4,0.55,35,17,1.0,0.1176,0.0,0.0294,0.5,0.0,0.88,0.4654,0.5346,0.4826,0.5174,0.4927,0.5073,0.0,425,1,1.0,0
720,370,57,6,0,2,0.0,6,-1,6,0.0,2,7,80,194,0.0309,0.945,0.6667,0.6667,71,58,0.8103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,498,1,1.0,1
