pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
29,Type1,Block,2,11,13,242,264,Still Active,Still Active,574,552,1,6,0,100,python.c,erlang.c,1,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,-0.0381,373,39,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
30,Type1,Block,2,11,129,242,711,Still Active,Still Active,574,105,0,3,1,100,python.c,asp.c,1,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,39,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),findAspTags,static void findAspTags (void)
31,Type1,Block,2,11,130,242,711,Still Active,Still Active,574,105,0,3,1,100,python.c,asp.c,1,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,39,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),findAspTags,static void findAspTags (void)
32,Type1,Block,2,12,13,242,264,Still Active,Still Active,574,552,1,0,0,100,sml.c,erlang.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,1.0000,-1.0000,373,-1,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
33,Type1,Block,2,12,129,242,711,Still Active,Still Active,574,105,0,0,1,100,sml.c,asp.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,105,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),findAspTags,static void findAspTags (void)
34,Type1,Block,2,12,130,242,711,Still Active,Still Active,574,105,0,0,1,100,sml.c,asp.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,105,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),findAspTags,static void findAspTags (void)
35,Type1,Block,2,13,129,264,711,Still Active,Still Active,552,105,0,0,1,100,erlang.c,asp.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,105,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),findAspTags,static void findAspTags (void)
36,Type1,Block,2,13,130,264,711,Still Active,Still Active,552,105,0,0,1,100,erlang.c,asp.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,105,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),findAspTags,static void findAspTags (void)
37,Type1,Block,2,129,130,711,711,Still Active,Still Active,105,105,1,0,0,100,asp.c,asp.c,0,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,1.0000,-1.0000,105,-1,findAspTags,static void findAspTags (void),findAspTags,static void findAspTags (void)
38,Type1,Block,3,7,8,39,39,97,Still Active,58,777,0,0,3,100,main.c,readtags.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,1,strnicmp,"extern int strnicmp (const char *s1, const char *s2, size_t n)",strnicmp,"static int strnicmp (const char *s1, const char *s2, size_t n)"
39,Type1,Block,3,7,9,39,97,97,Still Active,58,719,0,0,0,100,main.c,routines.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,-1,strnicmp,"extern int strnicmp (const char *s1, const char *s2, size_t n)",strcasecmp,"extern int strcasecmp (const char *s1, const char *s2)"
40,Type1,Block,3,7,14,39,264,97,Still Active,58,552,0,0,0,100,main.c,erlang.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,-1,strnicmp,"extern int strnicmp (const char *s1, const char *s2, size_t n)",NULL,NULL
41,Type1,Block,3,7,15,39,264,97,Still Active,58,552,0,0,0,100,main.c,python.c,1,darren,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,0.0000,0.0000,-1,-1,strnicmp,"extern int strnicmp (const char *s1, const char *s2, size_t n)",NULL,NULL
42,Type1,Block,3,8,9,39,97,Still Active,Still Active,777,719,1,1,1,100,readtags.c,routines.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.9997,-0.9997,373,653,strnicmp,"static int strnicmp (const char *s1, const char *s2, size_t n)",strcasecmp,"extern int strcasecmp (const char *s1, const char *s2)"
43,Type1,Block,3,8,14,39,264,Still Active,Still Active,777,552,1,0,0,100,readtags.c,erlang.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,1.0000,-1.0000,373,653,strnicmp,"static int strnicmp (const char *s1, const char *s2, size_t n)",NULL,NULL
44,Type1,Block,3,8,15,39,264,Still Active,Still Active,777,552,1,0,6,100,readtags.c,python.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,0.0000,-0.0381,373,39,strnicmp,"static int strnicmp (const char *s1, const char *s2, size_t n)",NULL,NULL
45,Type1,Block,3,9,14,97,264,Still Active,Still Active,719,552,1,0,0,100,routines.c,erlang.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,1.0000,-1.0000,373,710,strcasecmp,"extern int strcasecmp (const char *s1, const char *s2)",NULL,NULL
46,Type1,Block,3,9,15,97,264,Still Active,Still Active,719,552,1,0,6,100,routines.c,python.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,0.0000,-0.0381,373,39,strcasecmp,"extern int strcasecmp (const char *s1, const char *s2)",NULL,NULL
