pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors
34,Type3,Block,2,3,283,2,173,Still Active,Still Active,814,643,1,1,1,70,lisp.c,verilog.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
35,Type3,Block,2,3,296,2,215,Still Active,Still Active,814,601,1,1,7,70,lisp.c,sql.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; dfishburn; elliotth; elias; jafl; perlguy0; dhiebert; vberthoux
36,Type3,Block,2,3,315,2,218,Still Active,Still Active,814,598,1,1,3,70,lisp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
37,Type3,Block,2,3,320,2,227,Still Active,Still Active,814,589,1,1,1,70,lisp.c,cobol.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
38,Type3,Block,2,3,321,2,242,Still Active,Still Active,814,574,1,1,3,70,lisp.c,sml.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
39,Type3,Block,2,3,330,2,243,Still Active,Still Active,814,573,1,1,4,70,lisp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
40,Type3,Block,2,3,340,2,264,Still Active,Still Active,814,552,1,1,0,70,lisp.c,erlang.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
41,Type3,Block,2,3,364,2,286,Still Active,461,814,175,1,0,0,70,lisp.c,jscript.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth
42,Type3,Block,2,3,365,2,286,Still Active,Still Active,814,530,1,1,0,70,lisp.c,html.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
43,Type3,Block,2,3,408,2,459,Still Active,Still Active,814,357,0,1,1,70,lisp.c,basic.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dhiebert; elias; dfishburn; elliotth; jafl; perlguy0; vberthoux
44,Type3,Block,2,3,409,2,459,Still Active,579,814,120,0,0,1,70,lisp.c,basic.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,elias; dfishburn; elliotth; jafl; perlguy0; dhiebert
45,Type3,Block,2,3,410,2,459,Still Active,579,814,120,0,0,1,70,lisp.c,basic.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,elias; dfishburn; elliotth; jafl; perlguy0; dhiebert
46,Type3,Block,2,3,413,2,461,Still Active,Still Active,814,355,0,1,12,70,lisp.c,jscript.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias; vberthoux
47,Type3,Block,2,3,414,2,461,Still Active,Still Active,814,355,0,1,5,70,lisp.c,jscript.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias; vberthoux
48,Type3,Block,2,3,501,2,487,Still Active,Still Active,814,329,0,1,2,70,lisp.c,php.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,jafl; elliotth; perlguy0; dhiebert; elias; dfishburn; vberthoux
49,Type3,Block,2,3,511,2,591,Still Active,707,814,116,0,0,0,70,lisp.c,regex.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn
50,Type3,Block,2,3,512,2,591,Still Active,707,814,116,0,0,0,70,lisp.c,regex.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn
51,Type3,Block,2,3,539,2,654,Still Active,Still Active,814,162,0,1,1,70,lisp.c,vhdl.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,elliotth; dfishburn; elias; dhiebert; jafl; vberthoux; perlguy0
52,Type3,Block,2,3,540,2,654,Still Active,Still Active,814,162,0,1,2,70,lisp.c,vhdl.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,elliotth; dfishburn; elias; dhiebert; jafl; vberthoux; perlguy0
53,Type3,Block,2,3,575,2,682,Still Active,Still Active,814,134,0,1,1,70,lisp.c,flex.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0
54,Type3,Block,2,3,576,2,682,Still Active,Still Active,814,134,0,1,0,70,lisp.c,flex.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0
55,Type3,Block,2,3,665,2,693,Still Active,Still Active,814,123,0,1,2,70,lisp.c,tex.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0
56,Type3,Block,2,3,666,2,693,Still Active,Still Active,814,123,0,1,0,70,lisp.c,ant.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0
57,Type3,Block,2,3,667,2,693,Still Active,Still Active,814,123,0,1,0,70,lisp.c,dosbatch.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0
58,Type3,Block,2,3,668,2,693,Still Active,Still Active,814,123,0,1,0,70,lisp.c,matlab.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0
59,Type3,Block,2,3,669,2,693,Still Active,Still Active,814,123,0,1,2,70,lisp.c,tex.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0
