verification_revision,gcid,classid,decision_index,prev_change_revision,gap_since_prev_change,n_prior_changes,n_prior_co_changes,n_prior_solo_changes,co_change_ratio,solo_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_solo_change,solo_events_since_last_co_change,recent_co_ratio_last5,recent_solo_ratio_last5,nlines,similarity,file_age,change_density,stability_index,class_size,alive_peer_count,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,independent_ratio_decay_h10,coupling_strength_decay_h10,independent_ratio_decay_h20,coupling_strength_decay_h20,independent_ratio_decay_h50,coupling_strength_decay_h50,coupling_trend,cumulative_churn,distinct_authors,major_author_prop,label
260,57,11,2,260,0,0,0,0,0.0,0.0,258,-1,-1,0,0.0,0.0,5,75,258,0.0,0.883,36,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
260,225,15,2,260,0,0,0,0,0.0,0.0,0,-1,-1,0,0.0,0.0,8,83,0,0.0,0.0,40,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
267,55,11,4,260,7,3,1,1,0.3333,0.3333,7,7,79,0,0.6667,0.3333,5,75,265,0.0113,1.1773,36,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0034,0.9966,0.0396,0.9604,0.1556,0.8444,0.0,129,1,1.0,0
267,71,17,2,260,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,38,75,265,0.0038,0.9043,38,15,0.1333,0.0,0.0,0.0,0.0,0.87,0.0,1.0,0.0,1.0,0.0,1.0,0.0,63,1,1.0,0
267,210,23,2,267,0,0,0,0,0.0,0.0,52,-1,-1,0,0.0,0.0,8,71,52,0.0,0.7536,64,4,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
273,120,37,5,187,86,4,1,1,0.25,0.25,86,110,86,1,0.5,0.5,5,100,271,0.0148,0.6196,71,12,0.1667,0.0,0.0417,0.5,0.0,0.83,0.8407,0.1593,0.6967,0.3033,0.5824,0.4176,-1.0,90,1,1.0,1
273,120,37,6,273,0,4,1,1,0.25,0.25,86,110,86,1,0.5,0.5,5,100,271,0.0148,0.6196,71,12,0.1667,0.0,0.0417,0.5,0.0,0.83,0.8407,0.1593,0.6967,0.3033,0.5824,0.4176,-1.0,90,1,1.0,1
273,123,38,2,151,122,1,0,1,0.0,1.0,122,-1,122,1,0.0,1.0,12,100,271,0.0037,0.3202,111,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10,1,1.0,0
273,248,44,2,273,0,0,0,0,0.0,0.0,0,-1,-1,0,0.0,0.0,5,75,0,0.0,0.0,66,19,0.1579,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
273,249,44,2,273,0,0,0,0,0.0,0.0,0,-1,-1,0,0.0,0.0,9,100,0,0.0,0.0,66,19,0.1579,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
274,71,17,3,267,7,2,2,0,1.0,0.0,7,7,-1,0,1.0,0.0,38,75,272,0.0074,0.9255,38,15,0.1333,0.0,0.0,0.0,0.0,0.87,0.0,1.0,0.0,1.0,0.0,1.0,0.0,181,1,1.0,0
282,12,4,2,274,8,1,0,1,0.0,1.0,8,-1,8,1,0.0,1.0,32,70,280,0.0036,0.9787,42,12,0.0833,0.0,0.0,0.0,0.0,0.92,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8,1,1.0,0
282,53,11,2,282,0,0,0,0,0.0,0.0,280,-1,-1,0,0.0,0.0,7,71,280,0.0,0.961,36,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
282,55,11,5,267,15,4,1,2,0.25,0.5,15,22,15,1,0.5,0.5,5,75,280,0.0143,1.2801,36,6,0.0,0.0,0.0,0.0,0.0,1.0,0.4492,0.5508,0.4042,0.5958,0.4237,0.5763,0.0,247,1,1.0,0
282,55,11,6,282,0,4,1,2,0.25,0.5,15,22,15,1,0.5,0.5,5,75,280,0.0143,1.2801,36,6,0.0,0.0,0.0,0.0,0.0,1.0,0.4492,0.5508,0.4042,0.5958,0.4237,0.5763,0.0,247,1,1.0,0
282,71,17,4,274,8,3,2,1,0.6667,0.3333,8,15,8,1,0.6667,0.3333,38,75,280,0.0107,0.9504,38,15,0.1333,0.0,0.0,0.0,0.0,0.87,0.5014,0.4986,0.4166,0.5834,0.3662,0.6338,0.0,189,1,1.0,0
282,210,23,3,267,15,2,0,1,0.0,0.5,15,-1,15,1,0.0,1.0,8,71,67,0.0299,1.1594,64,6,0.1667,0.0,0.0,0.0,0.0,0.83,1.0,0.0,1.0,0.0,1.0,0.0,0.0,236,1,1.0,0
282,210,23,4,282,0,2,0,1,0.0,0.5,15,-1,15,1,0.0,1.0,8,71,67,0.0299,1.1594,64,6,0.1667,0.0,0.0,0.0,0.0,0.83,1.0,0.0,1.0,0.0,1.0,0.0,0.0,236,1,1.0,0
282,227,22,2,260,22,1,1,0,1.0,0.0,22,22,-1,0,1.0,0.0,7,71,22,0.0455,0.875,63,9,0.2222,0.0,0.1111,1.0,0.0,0.78,0.0,1.0,0.0,1.0,0.0,1.0,0.0,63,1,1.0,0
333,120,37,7,273,60,6,2,1,0.3333,0.1667,60,60,146,0,0.6,0.4,5,100,331,0.0181,0.7644,71,12,0.1667,0.0,0.0556,0.3333,0.0,0.83,0.0026,0.9974,0.0473,0.9527,0.1995,0.8005,0.0,690,1,1.0,0
333,120,37,8,333,0,6,2,1,0.3333,0.1667,60,60,146,0,0.6,0.4,5,100,331,0.0181,0.7644,71,12,0.1667,0.0,0.0556,0.3333,0.0,0.83,0.0026,0.9974,0.0473,0.9527,0.1995,0.8005,0.0,690,1,1.0,0
346,120,37,9,333,13,8,2,2,0.25,0.25,13,73,13,1,0.4,0.6,5,100,344,0.0233,0.7939,71,12,0.1667,0.0,0.0417,0.25,0.0,0.83,0.9846,0.0154,0.8873,0.1127,0.6811,0.3189,0.0,694,1,1.0,0
346,120,37,10,346,0,8,2,2,0.25,0.25,13,73,13,1,0.4,0.6,5,100,344,0.0233,0.7939,71,12,0.1667,0.0,0.0417,0.25,0.0,0.83,0.9846,0.0154,0.8873,0.1127,0.6811,0.3189,0.0,694,1,1.0,0
374,123,38,3,273,101,2,1,1,0.5,0.5,101,101,223,0,0.5,0.5,12,100,372,0.0054,0.4429,111,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,0.9998,0.0144,0.9856,0.1556,0.8444,0.0,310,1,1.0,0
374,245,41,2,273,101,1,1,0,1.0,0.0,101,101,-1,0,1.0,0.0,12,100,101,0.0099,0.1838,98,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,300,1,1.0,0
386,123,38,4,374,12,3,1,2,0.3333,0.6667,12,113,12,1,0.3333,0.6667,12,100,384,0.0078,0.4564,111,8,0.0,0.0,0.0,0.0,0.0,1.0,0.9991,0.0009,0.9707,0.0293,0.8092,0.1908,0.0,315,1,1.0,0
386,245,41,3,374,12,2,2,0,1.0,0.0,12,12,-1,0,1.0,0.0,12,100,113,0.0177,0.204,98,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,305,1,1.0,0
393,38,6,2,262,131,1,0,1,0.0,1.0,131,-1,131,1,0.0,1.0,11,71,391,0.0026,1.0557,20,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,1.0,0
393,38,6,3,393,0,1,0,1,0.0,1.0,131,-1,131,1,0.0,1.0,11,71,391,0.0026,1.0557,20,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,1.0,0
393,38,6,4,393,0,1,0,1,0.0,1.0,131,-1,131,1,0.0,1.0,11,71,391,0.0026,1.0557,20,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,1.0,0
400,19,4,2,276,124,1,0,1,0.0,1.0,124,-1,124,1,0.0,1.0,7,71,398,0.0025,0.4736,42,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,1.0,0
411,34,6,2,235,176,1,0,1,0.0,1.0,176,-1,176,1,0.0,1.0,11,70,409,0.0024,0.7153,20,7,0.4286,0.4286,0.0,0.0,0.0,0.57,1.0,0.0,1.0,0.0,1.0,0.0,0.0,23,1,1.0,0
417,146,48,2,96,321,1,1,0,1.0,0.0,321,321,-1,0,1.0,0.0,7,83,415,0.0024,0.4969,71,19,0.0,0.0,0.0526,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,1,1.0,0
420,247,44,2,273,147,1,1,0,1.0,0.0,147,147,-1,0,1.0,0.0,5,75,147,0.0068,0.2684,66,16,0.125,0.0,0.0625,1.0,0.0,0.88,0.0,1.0,0.0,1.0,0.0,1.0,0.0,79,1,1.0,1
420,248,44,3,273,147,2,1,0,0.5,0.0,147,147,-1,0,1.0,0.0,5,75,147,0.0136,0.2702,66,16,0.125,0.0,0.0625,1.0,0.0,0.88,0.0,1.0,0.0,1.0,0.0,1.0,0.0,158,1,1.0,1
424,247,44,3,420,4,2,2,0,1.0,0.0,4,4,-1,0,1.0,0.0,5,75,151,0.0132,0.2739,66,15,0.1333,0.0,0.0667,1.0,0.0,0.87,0.0,1.0,0.0,1.0,0.0,1.0,0.0,93,1,1.0,1
424,248,44,4,420,4,3,2,0,0.6667,0.0,4,4,-1,0,1.0,0.0,5,75,151,0.0199,0.2757,66,15,0.1333,0.0,0.0667,1.0,0.0,0.87,0.0,1.0,0.0,1.0,0.0,1.0,0.0,172,1,1.0,1
443,16,4,2,156,287,1,0,1,0.0,1.0,287,-1,287,1,0.0,1.0,8,70,441,0.0023,0.854,42,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,67,1,1.0,1
443,19,4,3,400,43,2,0,2,0.0,1.0,43,-1,43,2,0.0,1.0,7,71,441,0.0045,0.5239,42,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,39,1,1.0,1
443,26,4,2,432,11,1,0,1,0.0,1.0,11,-1,11,1,0.0,1.0,8,70,441,0.0023,0.5264,42,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,1.0,1
443,27,4,2,226,217,1,0,1,0.0,1.0,217,-1,217,1,0.0,1.0,8,70,441,0.0023,0.5288,42,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10,1,1.0,1
443,30,4,2,273,170,1,0,1,0.0,1.0,170,-1,170,1,0.0,1.0,8,70,441,0.0023,0.5288,42,12,0.0833,0.0,0.0,0.0,0.0,0.92,1.0,0.0,1.0,0.0,1.0,0.0,0.0,300,1,1.0,1
443,31,5,2,96,347,1,1,0,1.0,0.0,347,347,-1,0,1.0,0.0,15,100,441,0.0023,0.5387,44,12,0.3333,0.25,0.0833,1.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9,1,1.0,1
443,32,5,2,96,347,1,1,0,1.0,0.0,347,347,-1,0,1.0,0.0,15,100,441,0.0023,0.5387,44,12,0.3333,0.25,0.0833,1.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9,1,1.0,1
443,34,6,3,411,32,2,0,2,0.0,1.0,32,-1,32,2,0.0,1.0,11,70,441,0.0045,0.8319,20,6,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,48,1,1.0,1
443,34,6,4,443,0,2,0,2,0.0,1.0,32,-1,32,2,0.0,1.0,11,70,441,0.0045,0.8319,20,6,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,48,1,1.0,1
443,34,6,5,443,0,2,0,2,0.0,1.0,32,-1,32,2,0.0,1.0,11,70,441,0.0045,0.8319,20,6,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,48,1,1.0,1
443,38,6,5,393,50,4,0,2,0.0,0.5,50,-1,50,2,0.0,1.0,11,71,441,0.0091,1.3588,20,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,116,1,1.0,1
443,38,6,6,443,0,4,0,2,0.0,0.5,50,-1,50,2,0.0,1.0,11,71,441,0.0091,1.3588,20,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,116,1,1.0,1
443,38,6,7,443,0,4,0,2,0.0,0.5,50,-1,50,2,0.0,1.0,11,71,441,0.0091,1.3588,20,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,116,1,1.0,1
443,45,9,2,96,347,1,1,0,1.0,0.0,347,347,-1,0,1.0,0.0,6,75,441,0.0023,0.5362,16,5,0.0,0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,1,1.0,1
443,46,9,2,96,347,1,1,0,1.0,0.0,347,347,-1,0,1.0,0.0,6,75,441,0.0023,0.5362,16,5,0.0,0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,1,1.0,1
443,77,20,2,218,225,1,1,0,1.0,0.0,225,225,-1,0,1.0,0.0,10,87,441,0.0023,0.5288,39,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15,1,1.0,1
443,79,20,2,218,225,1,1,0,1.0,0.0,225,225,-1,0,1.0,0.0,10,87,441,0.0023,0.5288,39,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15,1,1.0,1
443,87,23,3,207,236,2,1,1,0.5,0.5,236,406,236,1,0.5,0.5,5,71,441,0.0045,0.8172,64,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9972,0.0028,0.9135,0.0865,0.0,265,1,1.0,1
443,87,23,4,443,0,2,1,1,0.5,0.5,236,406,236,1,0.5,0.5,5,71,441,0.0045,0.8172,64,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9972,0.0028,0.9135,0.0865,0.0,265,1,1.0,1
443,88,23,3,39,404,2,1,1,0.5,0.5,404,406,404,1,0.5,0.5,5,71,441,0.0045,0.5276,64,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5173,0.4827,0.5069,0.4931,0.0,366,1,1.0,1
443,94,26,2,34,409,1,1,0,1.0,0.0,409,409,-1,0,1.0,0.0,5,75,441,0.0023,0.5288,75,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,1,1.0,1
443,95,26,2,34,409,1,1,0,1.0,0.0,409,409,-1,0,1.0,0.0,5,75,441,0.0023,0.5288,75,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,1,1.0,1
443,113,34,2,273,170,1,1,0,1.0,0.0,170,170,-1,0,1.0,0.0,7,100,441,0.0023,0.5288,113,9,0.0,0.0,0.2222,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,300,1,1.0,1
443,115,34,2,273,170,1,1,0,1.0,0.0,170,170,-1,0,1.0,0.0,7,100,441,0.0023,0.5288,113,9,0.0,0.0,0.2222,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,300,1,1.0,1
443,120,37,11,346,97,10,2,3,0.2,0.3,97,170,97,2,0.2,0.8,5,100,441,0.0227,1.0294,71,15,0.1333,0.0,0.0267,0.2,0.0,0.87,0.9955,0.0045,0.9527,0.0473,0.8147,0.1853,-0.4,790,1,1.0,1
443,120,37,12,443,0,10,2,3,0.2,0.3,97,170,97,2,0.2,0.8,5,100,441,0.0227,1.0294,71,15,0.1333,0.0,0.0267,0.2,0.0,0.87,0.9955,0.0045,0.9527,0.0473,0.8147,0.1853,-0.4,790,1,1.0,1
443,123,38,5,386,57,4,1,3,0.25,0.75,57,170,57,2,0.25,0.75,12,100,441,0.0091,0.5252,111,9,0.0,0.0,0.0,0.0,0.0,1.0,0.9997,0.0003,0.9881,0.0119,0.9003,0.0997,-0.5,319,1,1.0,1
443,129,41,2,209,234,1,0,1,0.0,1.0,234,-1,234,1,0.0,1.0,5,75,441,0.0023,0.5288,98,14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,1.0,1
443,134,44,10,190,253,9,6,0,0.6667,0.0,253,253,-1,0,1.0,0.0,6,75,441,0.0204,1.0147,66,20,0.25,0.0,0.0667,0.3333,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,665,1,1.0,1
443,134,44,11,443,0,9,6,0,0.6667,0.0,253,253,-1,0,1.0,0.0,6,75,441,0.0204,1.0147,66,20,0.25,0.0,0.0667,0.3333,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,665,1,1.0,1
443,135,44,3,39,404,2,2,0,1.0,0.0,404,404,-1,0,1.0,0.0,6,75,441,0.0045,0.5276,66,20,0.25,0.0,0.075,0.5,0.0,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,366,1,1.0,1
443,136,45,4,190,253,3,3,0,1.0,0.0,253,253,-1,0,1.0,0.0,8,83,441,0.0068,0.5264,67,23,0.1739,0.0,0.0725,0.6667,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,434,1,1.0,1
443,139,45,10,190,253,9,5,0,0.5556,0.0,253,253,-1,0,1.0,0.0,8,83,441,0.0204,1.2086,67,23,0.1739,0.0,0.058,0.4444,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,886,1,1.0,1
443,139,45,11,443,0,9,5,0,0.5556,0.0,253,253,-1,0,1.0,0.0,8,83,441,0.0204,1.2086,67,23,0.1739,0.0,0.058,0.4444,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,886,1,1.0,1
