gcid,classid,addedInRev,endRev,deletedInRev,lifespan,total_changes,alive_peer_count_at_end,exclusion_reason
621,84,717,816,0,100,0,26,never_changed
622,85,717,771,772,55,0,24,never_changed
623,85,717,771,772,55,0,24,never_changed
625,117,735,816,0,82,0,13,never_changed
628,40,742,816,0,75,1,74,warmup
629,113,742,816,0,75,0,14,never_changed
630,113,742,816,0,75,1,14,warmup
631,114,742,816,0,75,1,15,warmup
632,27,755,816,0,62,1,27,warmup
633,29,755,816,0,62,1,43,warmup
634,29,755,816,0,62,1,43,warmup
635,35,755,816,0,62,1,97,warmup
636,35,755,816,0,62,1,97,warmup
638,82,770,816,0,47,0,29,never_changed
639,1,771,816,0,46,0,23,never_changed
640,45,771,816,0,46,0,39,never_changed
641,45,771,816,0,46,1,39,warmup
642,78,771,816,0,46,0,29,never_changed
643,78,771,816,0,46,0,29,never_changed
644,79,771,816,0,46,0,29,never_changed
645,79,771,816,0,46,0,29,never_changed
646,80,771,816,0,46,0,37,never_changed
647,80,771,816,0,46,0,37,never_changed
648,81,771,772,773,2,0,26,never_changed
649,81,771,772,773,2,0,26,never_changed
650,82,771,816,0,46,0,29,never_changed
651,82,771,816,0,46,0,29,never_changed
652,82,771,816,0,46,0,29,never_changed
653,83,771,816,0,46,0,20,never_changed
654,83,771,816,0,46,0,20,never_changed
655,84,771,816,0,46,0,26,never_changed
656,84,771,816,0,46,0,26,never_changed
657,85,771,816,0,46,0,22,never_changed
658,85,771,816,0,46,0,22,never_changed
659,86,771,816,0,46,1,30,warmup
660,86,771,816,0,46,0,30,never_changed
661,86,771,816,0,46,0,30,never_changed
662,86,771,816,0,46,1,30,warmup
663,86,771,816,0,46,0,30,never_changed
664,86,771,816,0,46,0,30,never_changed
665,86,771,816,0,46,0,30,never_changed
666,86,771,816,0,46,0,30,never_changed
667,86,771,816,0,46,1,30,warmup
668,87,771,816,0,46,1,22,warmup
669,87,771,816,0,46,1,22,warmup
670,88,771,816,0,46,0,23,never_changed
671,88,771,816,0,46,0,23,never_changed
672,88,771,816,0,46,0,23,never_changed
673,89,771,816,0,46,1,18,warmup
674,89,771,816,0,46,1,18,warmup
675,90,771,816,0,46,0,21,never_changed
676,90,771,816,0,46,0,21,never_changed
677,91,771,787,788,17,0,18,never_changed
678,91,771,787,788,17,0,18,never_changed
679,81,773,816,0,44,0,26,never_changed
680,81,773,816,0,44,0,26,never_changed
682,135,786,816,0,31,0,2,never_changed
683,90,788,816,0,29,1,21,warmup
684,90,788,816,0,29,0,21,never_changed
685,28,797,816,0,20,1,14,warmup
687,102,805,816,0,12,0,19,never_changed
688,35,815,816,0,2,1,97,warmup
