revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
29 | equals | public boolean equals(Object arg) |  | dnsName | DNS/dnsName.java | 102 | 113 | 14214 | 36
29 | equals | public boolean equals(Object arg) |  | dnsName | org/xbill/DNS/Name.java | 102 | 113 | 14215 | 36
29 | equals | public boolean equals(Object arg) |  | dnsName | org/xbill/DNS/dnsName.java | 102 | 113 | 14216 | 36
29 | flagString | static String flagString(int i) |  | dns | DNS/dns.java | 265 | 271 | 14217 | 37
29 | flagString | static String flagString(int i) |  | dns | org/xbill/DNS/dns.java | 265 | 271 | 14218 | 37
29 | formatDate | String formatDate(Date d) |  | dnsSIGRecord | DNS/SIGRecord.java | 109 | 126 | 14219 | 38
29 | formatDate | String formatDate(Date d) |  | dnsSIGRecord | DNS/dnsSIGRecord.java | 109 | 126 | 14220 | 38
29 | formatDate | String formatDate(Date d) |  | dnsSIGRecord | org/xbill/DNS/SIGRecord.java | 109 | 126 | 14221 | 38
29 | formatDate | String formatDate(Date d) |  | dnsSIGRecord | org/xbill/DNS/dnsSIGRecord.java | 109 | 126 | 14222 | 38
29 | fromString | fromString(String str) |  | base64 | DNS/base64.java | 43 | 80 | 14223 | 115
29 | fromString | fromString(String str) |  | base64 | DNS/utils/base64.java | 43 | 80 | 14224 | 115
29 | fromString | fromString(String str) |  | base64 | org/xbill/DNS/base64.java | 43 | 80 | 14225 | 115
29 | fromString | fromString(String str) |  | base64 | org/xbill/DNS/utils/base64.java | 43 | 80 | 14226 | 115
29 | get | public dnsName get(int pos) |  | dnsCompression | DNS/Compression.java | 15 | 17 | 14227 | 39
29 | get | public dnsName get(int pos) |  | dnsCompression | DNS/dnsCompression.java | 15 | 17 | 14228 | 39
29 | get | public dnsName get(int pos) |  | dnsCompression | org/xbill/DNS/Compression.java | 15 | 17 | 14229 | 39
29 | get | public dnsName get(int pos) |  | dnsCompression | org/xbill/DNS/dnsCompression.java | 15 | 17 | 14230 | 39
29 | getCount | int getCount(int field) |  | dnsHeader | DNS/Header.java | 97 | 99 | 14231 | 40
29 | getCount | int getCount(int field) |  | dnsHeader | DNS/dnsHeader.java | 97 | 99 | 14232 | 40
29 | getCount | int getCount(int field) |  | dnsHeader | org/xbill/DNS/Header.java | 97 | 99 | 14233 | 40
29 | getCount | int getCount(int field) |  | dnsHeader | org/xbill/DNS/dnsHeader.java | 97 | 99 | 14234 | 40
29 | getFlag | boolean getFlag(int bit) |  | dnsHeader | DNS/Header.java | 53 | 55 | 14235 | 41
29 | getFlag | boolean getFlag(int bit) |  | dnsHeader | DNS/dnsHeader.java | 53 | 55 | 14236 | 41
29 | getFlag | boolean getFlag(int bit) |  | dnsHeader | org/xbill/DNS/Header.java | 53 | 55 | 14237 | 41
29 | getFlag | boolean getFlag(int bit) |  | dnsHeader | org/xbill/DNS/dnsHeader.java | 53 | 55 | 14238 | 41
29 | getHeader | dnsHeader getHeader() |  | dnsMessage | DNS/Message.java | 46 | 48 | 14239 | 42
29 | getHeader | dnsHeader getHeader() |  | dnsMessage | DNS/dnsMessage.java | 46 | 48 | 14240 | 42
29 | getHeader | dnsHeader getHeader() |  | dnsMessage | org/xbill/DNS/Message.java | 46 | 48 | 14241 | 42
29 | getHeader | dnsHeader getHeader() |  | dnsMessage | org/xbill/DNS/dnsMessage.java | 46 | 48 | 14242 | 42
29 | getID | int getID() |  | dnsHeader | DNS/Header.java | 57 | 59 | 14243 | 43
29 | getID | int getID() |  | dnsHeader | DNS/dnsHeader.java | 57 | 59 | 14244 | 43
29 | getID | int getID() |  | dnsHeader | org/xbill/DNS/Header.java | 57 | 59 | 14245 | 43
29 | getID | int getID() |  | dnsHeader | org/xbill/DNS/dnsHeader.java | 57 | 59 | 14246 | 43
29 | getNumBytes | int getNumBytes() |  | dnsMessage | DNS/Message.java | 110 | 112 | 14247 | 96
29 | getNumBytes | int getNumBytes() |  | dnsMessage | DNS/dnsMessage.java | 110 | 112 | 14248 | 96
29 | getNumBytes | int getNumBytes() |  | dnsMessage | org/xbill/DNS/Message.java | 110 | 112 | 14249 | 96
29 | getNumBytes | int getNumBytes() |  | dnsMessage | org/xbill/DNS/dnsMessage.java | 110 | 112 | 14250 | 96
29 | getOpcode | byte getOpcode() |  | dnsHeader | DNS/Header.java | 81 | 83 | 14251 | 44
29 | getOpcode | byte getOpcode() |  | dnsHeader | DNS/dnsHeader.java | 81 | 83 | 14252 | 44
29 | getOpcode | byte getOpcode() |  | dnsHeader | org/xbill/DNS/Header.java | 81 | 83 | 14253 | 44
29 | getOpcode | byte getOpcode() |  | dnsHeader | org/xbill/DNS/dnsHeader.java | 81 | 83 | 14254 | 44
29 | getRcode | byte getRcode() |  | dnsHeader | DNS/Header.java | 73 | 75 | 14255 | 45
29 | getRcode | byte getRcode() |  | dnsHeader | DNS/dnsHeader.java | 73 | 75 | 14256 | 45
29 | getRcode | byte getRcode() |  | dnsHeader | org/xbill/DNS/Header.java | 73 | 75 | 14257 | 45
29 | getRcode | byte getRcode() |  | dnsHeader | org/xbill/DNS/dnsHeader.java | 73 | 75 | 14258 | 45
29 | getSection | Vector getSection(int section) |  | dnsMessage | DNS/Message.java | 75 | 77 | 14259 | 46
