revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
237 | add | add(int pos, Name name) | DNS | Compression | org/xbill/DNS/Compression.java | 18 | 21 | 158480 | 2
237 | addAdditional | addAdditional(Message response) |  | jnamed | jnamed.java | 160 | 163 | 158481 | 273
237 | addAdditional2 | addAdditional2(Message response, int section) |  | jnamed | jnamed.java | 144 | 157 | 158482 | 274
237 | addAuthority | addAuthority(Message response, Name name, Zone zone) |  | jnamed | jnamed.java | 106 | 130 | 158483 | 275
237 | addGlue | addGlue(Message response, Name name) |  | jnamed | jnamed.java | 133 | 141 | 158484 | 276
237 | addMessage | addMessage(Message in) | DNS | Cache | DNS/Cache.java | 179 | 255 | 158485 | 300
237 | addMessage | addMessage(Message in) | DNS | Cache | org/xbill/DNS/Cache.java | 179 | 255 | 158486 | 300
237 | addNegative | addNegative(Name name, short type, short dclass, int ttl, byte cred, Object o) | DNS | Cache | DNS/Cache.java | 119 | 124 | 158487 | 315
237 | addNegative | addNegative(Name name, short type, short dclass, int ttl, byte cred, Object o) | DNS | Cache | org/xbill/DNS/Cache.java | 119 | 124 | 158488 | 315
237 | addRR | addRR(Record r) | DNS | RRset | DNS/RRset.java | 20 | 29 | 158489 | 249
237 | addRR | addRR(Record record) | DNS | Zone | DNS/Zone.java | 73 | 80 | 158490 | 249
237 | addRR | addRR(Record r) | DNS | RRset | org/xbill/DNS/RRset.java | 20 | 29 | 158491 | 249
237 | addRR | addRR(Record record) | DNS | Zone | org/xbill/DNS/Zone.java | 73 | 80 | 158492 | 249
237 | addRRset | addRRset(RRset rrset, byte cred, Object o) | DNS | Cache | DNS/Cache.java | 106 | 116 | 158493 | 277
237 | addRRset | addRRset(Message response, RRset rrset) |  | jnamed | jnamed.java | 96 | 102 | 158494 | 277
237 | addRRset | addRRset(RRset rrset, byte cred, Object o) | DNS | Cache | org/xbill/DNS/Cache.java | 106 | 116 | 158495 | 277
237 | addRecord | addRecord(Record r, byte cred, Object o) | DNS | Cache | DNS/Cache.java | 85 | 103 | 158496 | 3
237 | addRecord | addRecord(int section, Record r) | DNS | Message | DNS/Message.java | 68 | 71 | 158497 | 3
237 | addRecord | addRecord(Record r, byte cred, Object o) | DNS | Cache | org/xbill/DNS/Cache.java | 85 | 103 | 158498 | 3
237 | addRecord | addRecord(int section, Record r) | DNS | Message | org/xbill/DNS/Message.java | 68 | 71 | 158499 | 3
237 | addResolver | addResolver(Resolver r) | DNS | ExtendedResolver | DNS/ExtendedResolver.java | 220 | 222 | 158500 | 346
237 | addResolver | addResolver(Resolver r) | DNS | ExtendedResolver | org/xbill/DNS/ExtendedResolver.java | 220 | 222 | 158501 | 346
237 | addSet | addSet(Name name, short type, short dclass, Object set) | DNS | NameSet | DNS/NameSet.java | 49 | 54 | 158502 | 303
237 | addSet | addSet(Name name, short type, short dclass, Object set) | DNS | NameSet | org/xbill/DNS/NameSet.java | 49 | 54 | 158503 | 303
237 | addTCP | addTCP(final short port) |  | jnamed | jnamed.java | 401 | 405 | 158504 | 209
237 | addTSIG | addTSIG(String name, String key) |  | jnamed | jnamed.java | 65 | 67 | 158505 | 294
237 | addUDP | addUDP(final short port) |  | jnamed | jnamed.java | 408 | 412 | 158506 | 210
237 | addZone | addZone(String zonefile) throws IOException |  | jnamed | jnamed.java | 58 | 62 | 158507 | 198
237 | answer | answer() | DNS | CacheResponse | DNS/CacheResponse.java | 51 | 55 | 158508 | 318
237 | answer | answer() | DNS | CacheResponse | org/xbill/DNS/CacheResponse.java | 51 | 55 | 158509 | 318
237 | append | append(Name d) | DNS | Name | DNS/Name.java | 147 | 150 | 158510 | 23
237 | append | append(Name d) | DNS | Name | org/xbill/DNS/Name.java | 147 | 150 | 158511 | 23
237 | apply | apply(Message m, TSIGRecord old) throws IOException | DNS | TSIG | DNS/TSIG.java | 26 | 68 | 158512 | 108
237 | apply | apply(Message m, TSIGRecord old) throws IOException | DNS | TSIG | org/xbill/DNS/TSIG.java | 26 | 68 | 158513 | 108
237 | base16 | base16() {} | DNS.utils | base16 | DNS/utils/base16.java | 19 | 20 | 158514 | 349
237 | base16 | base16() {} | DNS.utils | base16 | org/xbill/DNS/utils/base16.java | 19 | 20 | 158515 | 349
237 | base64 | base64() {} | DNS.utils | base64 | DNS/utils/base64.java | 19 | 20 | 158516 | 350
237 | base64 | base64() {} | DNS.utils | base64 | org/xbill/DNS/utils/base64.java | 19 | 20 | 158517 | 350
237 | clear | clear() | DNS | RRset | DNS/RRset.java | 32 | 35 | 158518 | 112
237 | clear | clear() | DNS.utils | hmacSigner | DNS/utils/hmacSigner.java | 119 | 126 | 158519 | 112
237 | clear | clear() | DNS | RRset | org/xbill/DNS/RRset.java | 32 | 35 | 158520 | 112
237 | clear | clear() | DNS.utils | hmacSigner | org/xbill/DNS/utils/hmacSigner.java | 119 | 126 | 158521 | 112
237 | clone | clone() | DNS | Header | DNS/Header.java | 194 | 205 | 158522 | 343
237 | clone | clone() | DNS | Message | DNS/Message.java | 207 | 215 | 158523 | 343
237 | clone | clone() | DNS | Header | org/xbill/DNS/Header.java | 194 | 205 | 158524 | 343
237 | clone | clone() | DNS | Message | org/xbill/DNS/Message.java | 207 | 215 | 158525 | 343
237 | decCount | decCount(int field) | DNS | Header | DNS/Header.java | 129 | 131 | 158526 | 47
237 | decCount | decCount(int field) | DNS | Header | org/xbill/DNS/Header.java | 129 | 131 | 158527 | 47
237 | deleteResolver | deleteResolver(Resolver r) | DNS | ExtendedResolver | DNS/ExtendedResolver.java | 225 | 227 | 158528 | 347
237 | deleteResolver | deleteResolver(Resolver r) | DNS | ExtendedResolver | org/xbill/DNS/ExtendedResolver.java | 225 | 227 | 158529 | 347
237 | dns | dns() {} | DNS | dns | DNS/dns.java | 27 | 28 | 158530 | 351
237 | dns | dns() {} | DNS | dns | org/xbill/DNS/dns.java | 27 | 28 | 158531 | 351
237 | doAXFR | doAXFR(Message query, Resolver res) throws IOException |  | dig | dig.java | 33 | 51 | 158532 | 33
237 | doAdd | doAdd(MyStringTokenizer st) throws IOException |  | update | update.java | 302 | 320 | 158533 | 123
237 | doAssert | doAssert(MyStringTokenizer st) |  | update | update.java | 415 | 446 | 158534 | 194
237 | doDelete | doDelete(MyStringTokenizer st) throws IOException |  | update | update.java | 323 | 341 | 158535 | 170
237 | doFile | doFile(MyStringTokenizer st, Vector inputs, Vector istreams) |  | update | update.java | 380 | 400 | 158536 | 193
237 | doGlue | doGlue(MyStringTokenizer st) throws IOException |  | update | update.java | 344 | 362 | 158537 | 171
237 | doLog | doLog(MyStringTokenizer st) |  | update | update.java | 403 | 412 | 158538 | 289
237 | doProhibit | doProhibit(MyStringTokenizer st) throws IOException |  | update | update.java | 281 | 299 | 158539 | 172
