n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,579,0.851,507
24,16,8,0.4537426064865151,0.71875,0.6086956521739131,0.8671875,0.939093943498452,7,8,0,9,0.4375,1.0,0.6614378277661477,RandomForest,586,0.851,508
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,598,0.753,532
25,22,3,0.5383054219239551,0.8863636363636364,0.8717948717948718,1.0,1.0,17,3,0,5,0.7727,1.0,0.8790490729915326,RandomForest,630,0.753,533
5,2,3,1.0,1.0,1.0,1.0,1.0,2,3,0,0,1.0,1.0,1.0,RandomForest,634,0.655,558
8,3,5,0.4666666666666667,0.7333333333333334,0.6666666666666666,0.8,0.8333333333333333,2,4,1,1,0.6667,0.8,0.7302967433402214,RandomForest,635,0.639,563
15,12,3,0.82915619758885,0.9583333333333333,0.9565217391304348,1.0,1.0,11,3,0,1,0.9167,1.0,0.9574271077563381,RandomForest,636,0.541,571
14,13,1,1.0,1.0,1.0,1.0,0.9999999999999998,13,1,0,0,1.0,1.0,1.0,RandomForest,637,0.296,586
36,25,11,0.7406681724583486,0.8181818181818181,0.9259259259259259,0.9927272727272727,0.9970370370370372,25,7,4,0,1.0,0.6364,0.7977240352174656,RandomForest,644,0.296,600
10,3,7,0.8017837257372732,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.6388888888888888,3,6,1,0,1.0,0.8571,0.9258200997725514,RandomForest,656,0.459,636
21,9,12,0.7076731463403724,0.8472222222222222,0.823529411764706,0.9259259259259258,0.9390432098765433,7,11,1,2,0.7778,0.9167,0.8443713418650368,RandomForest,657,0.459,646
36,28,8,0.5718763176550473,0.8303571428571428,0.8627450980392156,0.8794642857142857,0.9695546121513202,22,7,1,6,0.7857,0.875,0.82915619758885,RandomForest,658,0.524,667
37,27,10,0.725925925925926,0.8629629629629629,0.9259259259259259,0.9444444444444444,0.9797477400645529,25,8,2,2,0.9259,0.8,0.8606629658238705,RandomForest,659,0.459,703
15,10,5,0.8528028654224417,0.9,0.9523809523809523,0.9800000000000001,0.9909090909090909,10,4,1,0,1.0,0.8,0.8944271909999159,RandomForest,663,0.622,740
26,21,5,0.7401527456927535,0.8,0.9545454545454545,1.0,1.0,21,3,2,0,1.0,0.6,0.7745966692414834,RandomForest,664,0.133,755
9,5,4,0.5976143046671968,0.75,0.8333333333333333,0.8,0.8761904761904762,5,2,2,0,1.0,0.5,0.7071067811865476,RandomForest,666,0.296,781
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,667,0.296,790
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,668,0.296,791
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,669,0.296,792
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,670,0.296,793
3,2,1,0.5,0.75,0.6666666666666666,0.5,0.8333333333333333,1,1,0,1,0.5,1.0,0.7071067811865476,RandomForest,672,0.296,795
2,1,1,0.0,0.5,0.0,1.0,1.0,0,1,0,1,0.0,1.0,0.0,RandomForest,675,0.296,798
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,680,0.296,800
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,681,0.427,801
